category,total_likes,total_comments,total_sentiment,post_count,total_engagement_score,avg_likes,avg_comments,avg_sentiment,avg_engagement_score
family_friendly,39012,171,3.7783620938681914,45,39542.9181046934,866.9333333333333,3.8,0.08396360208595981,878.7315134376312
high_value,68581,1331,2.6467735332163866,24,71375.3386766608,2857.5416666666665,55.458333333333336,0.11028223055068277,2973.9724448608667
influencer,40095,1129,0.8658472884453297,40,42396.29236442226,1002.375,28.225,0.021646182211133243,1059.9073091105565
halloween,147600,1855,3.9066382525750947,95,151505.33191262875,1553.6842105263158,19.526315789473685,0.041122507921843104,1594.7929675013554
festive,20801,61,1.9664242063492063,52,21021.32121031746,400.0192307692308,1.1730769230769231,0.03781585012210012,404.2561771214896
deals_promotions,110719,1482,8.440647585648898,120,114105.0323792824,922.6583333333333,12.35,0.07033872988040749,950.8752698273533
attraction_event,122778,619,7.351467360044674,88,124383.57336800221,1395.2045454545455,7.034090909090909,0.08353940181868948,1413.4496973636615
