DataSeries,year_month,no_of_visitors
    West Asia,2020May,6
        Iran,2020May,0
        Israel,2020May,4
        Kuwait,2020May,0
        Saudi Arabia,2020May,1
        United Arab Emirates,2020May,1
        Other Markets In West Asia,2020May,0
    Americas,2020May,38
        Canada,2020May,0
        USA,2020May,34
        Other Markets In Americas,2020May,4
    Europe,2020May,90
        Belgium & Luxembourg,2020May,3
        Denmark,2020May,0
        Finland,2020May,0
        France,2020May,2
        Germany,2020May,7
        Italy,2020May,2
        Netherlands,2020May,0
        Norway,2020May,3
        Rep Of Ireland,2020May,0
        Russian Federation,2020May,7
        Spain,2020May,1
        Sweden,2020May,2
        Switzerland,2020May,3
        United Kingdom,2020May,17
        Other Markets In Europe,2020May,43
    Oceania,2020May,18
        Australia,2020May,16
        New Zealand,2020May,1
        Other Markets In Oceania,2020May,1
    Africa,2020May,1
        Egypt,2020May,0
        Mauritius,2020May,1
        South Africa (Rep Of),2020May,0
        Other Markets In Africa,2020May,0
    Others,2020May,0
Total International Visitor Arrivals By Inbound Tourism Markets,2020Apr,750
    Southeast Asia,2020Apr,503
        Brunei Darussalam,2020Apr,3
        Indonesia,2020Apr,208
        Malaysia,2020Apr,96
        Myanmar,2020Apr,6
        Philippines,2020Apr,32
        Thailand,2020Apr,153
        Vietnam,2020Apr,5
        Other Markets In Southeast Asia,2020Apr,0
    Greater China,2020Apr,33
        China,2020Apr,18
        Hong Kong SAR,2020Apr,13
        Taiwan,2020Apr,2
        Other Markets In Greater China,2020Apr,0
    North Asia,2020Apr,34
        Japan,2020Apr,25
        South Korea,2020Apr,9
        Other Markets In North Asia,2020Apr,0
    South Asia,2020Apr,95
        Bangladesh,2020Apr,4
        India,2020Apr,87
        Pakistan,2020Apr,0
        Sri Lanka,2020Apr,2
        Other Markets In South Asia,2020Apr,2
    West Asia,2020Apr,8
        Iran,2020Apr,0
        Israel,2020Apr,0
        Kuwait,2020Apr,0
        Saudi Arabia,2020Apr,1
        United Arab Emirates,2020Apr,2
        Other Markets In West Asia,2020Apr,5
    Americas,2020Apr,13
        Canada,2020Apr,0
        USA,2020Apr,13
        Other Markets In Americas,2020Apr,0
    Europe,2020Apr,47
        Belgium & Luxembourg,2020Apr,0
        Denmark,2020Apr,0
        Finland,2020Apr,2
        France,2020Apr,5
        Germany,2020Apr,2
        Italy,2020Apr,1
        Netherlands,2020Apr,1
        Norway,2020Apr,1
        Rep Of Ireland,2020Apr,2
        Russian Federation,2020Apr,7
        Spain,2020Apr,0
        Sweden,2020Apr,0
        Switzerland,2020Apr,0
        United Kingdom,2020Apr,18
        Other Markets In Europe,2020Apr,8
    Oceania,2020Apr,14
        Australia,2020Apr,7
        New Zealand,2020Apr,1
        Other Markets In Oceania,2020Apr,6
    Africa,2020Apr,3
        Egypt,2020Apr,0
        Mauritius,2020Apr,0
        South Africa (Rep Of),2020Apr,0
        Other Markets In Africa,2020Apr,3
    Others,2020Apr,0
Total International Visitor Arrivals By Inbound Tourism Markets,2020Mar,240001
    Southeast Asia,2020Mar,88027
        Brunei Darussalam,2020Mar,514
        Indonesia,2020Mar,46499
        Malaysia,2020Mar,14887
        Myanmar,2020Mar,4762
        Philippines,2020Mar,11860
        Thailand,2020Mar,2898
        Vietnam,2020Mar,5390
        Other Markets In Southeast Asia,2020Mar,1217
    Greater China,2020Mar,8410
        China,2020Mar,1488
        Hong Kong SAR,2020Mar,5315
        Taiwan,2020Mar,1419
        Other Markets In Greater China,2020Mar,188
    North Asia,2020Mar,12809
        Japan,2020Mar,11611
        South Korea,2020Mar,1198
        Other Markets In North Asia,2020Mar,0
    South Asia,2020Mar,24252
        Bangladesh,2020Mar,3738
        India,2020Mar,17848
        Pakistan,2020Mar,285
        Sri Lanka,2020Mar,1660
        Other Markets In South Asia,2020Mar,721
    West Asia,2020Mar,1019
        Iran,2020Mar,8
        Israel,2020Mar,211
        Kuwait,2020Mar,16
        Saudi Arabia,2020Mar,44
        United Arab Emirates,2020Mar,587
        Other Markets In West Asia,2020Mar,153
    Americas,2020Mar,15567
        Canada,2020Mar,2414
        USA,2020Mar,10408
        Other Markets In Americas,2020Mar,2745
    Europe,2020Mar,67261
        Belgium & Luxembourg,2020Mar,819
        Denmark,2020Mar,1206
        Finland,2020Mar,1179
        France,2020Mar,5464
        Germany,2020Mar,14758
        Italy,2020Mar,1238
        Netherlands,2020Mar,2903
        Norway,2020Mar,857
        Rep Of Ireland,2020Mar,653
        Russian Federation,2020Mar,3707
        Spain,2020Mar,1306
        Sweden,2020Mar,1486
        Switzerland,2020Mar,2326
        United Kingdom,2020Mar,20614
        Other Markets In Europe,2020Mar,8745
    Oceania,2020Mar,21275
        Australia,2020Mar,18736
        New Zealand,2020Mar,2127
        Other Markets In Oceania,2020Mar,412
    Africa,2020Mar,1381
        Egypt,2020Mar,69
        Mauritius,2020Mar,62
        South Africa (Rep Of),2020Mar,854
        Other Markets In Africa,2020Mar,396
    Others,2020Mar,0
Total International Visitor Arrivals By Inbound Tourism Markets,2020Feb,732966
    Southeast Asia,2020Feb,247016
        Brunei Darussalam,2020Feb,1764
        Indonesia,2020Feb,115351
        Malaysia,2020Feb,40829
        Myanmar,2020Feb,8018
        Philippines,2020Feb,32073
        Thailand,2020Feb,24667
        Vietnam,2020Feb,19791
        Other Markets In Southeast Asia,2020Feb,4523
    Greater China,2020Feb,36496
        China,2020Feb,6222
        Hong Kong SAR,2020Feb,12808
        Taiwan,2020Feb,16922
        Other Markets In Greater China,2020Feb,544
    North Asia,2020Feb,69624
        Japan,2020Feb,53425
        South Korea,2020Feb,16195
        Other Markets In North Asia,2020Feb,4
    South Asia,2020Feb,64947
        Bangladesh,2020Feb,6054
        India,2020Feb,52946
        Pakistan,2020Feb,742
        Sri Lanka,2020Feb,3591
        Other Markets In South Asia,2020Feb,1614
    West Asia,2020Feb,5452
        Iran,2020Feb,518
        Israel,2020Feb,1377
        Kuwait,2020Feb,125
        Saudi Arabia,2020Feb,407
        United Arab Emirates,2020Feb,2268
        Other Markets In West Asia,2020Feb,757
    Americas,2020Feb,53615
        Canada,2020Feb,9146
        USA,2020Feb,37568
        Other Markets In Americas,2020Feb,6901
    Europe,2020Feb,190088
        Belgium & Luxembourg,2020Feb,2444
        Denmark,2020Feb,4082
        Finland,2020Feb,4009
        France,2020Feb,18495
        Germany,2020Feb,39857
        Italy,2020Feb,7492
        Netherlands,2020Feb,6637
        Norway,2020Feb,3188
        Rep Of Ireland,2020Feb,1483
        Russian Federation,2020Feb,9135
        Spain,2020Feb,3892
        Sweden,2020Feb,4539
        Switzerland,2020Feb,7352
        United Kingdom,2020Feb,49475
        Other Markets In Europe,2020Feb,28008
    Oceania,2020Feb,62292
        Australia,2020Feb,54791
        New Zealand,2020Feb,6185
        Other Markets In Oceania,2020Feb,1316
    Africa,2020Feb,3435
        Egypt,2020Feb,302
        Mauritius,2020Feb,228
        South Africa (Rep Of),2020Feb,1723
        Other Markets In Africa,2020Feb,1182
    Others,2020Feb,1
Total International Visitor Arrivals By Inbound Tourism Markets,2020Jan,1688102
    Southeast Asia,2020Jan,528985
        Brunei Darussalam,2020Jan,5364
        Indonesia,2020Jan,282144
        Malaysia,2020Jan,90720
        Myanmar,2020Jan,11341
        Philippines,2020Jan,49522
        Thailand,2020Jan,34152
        Vietnam,2020Jan,46350
        Other Markets In Southeast Asia,2020Jan,9392
    Greater China,2020Jan,413392
        China,2020Jan,329047
        Hong Kong SAR,2020Jan,38681
        Taiwan,2020Jan,42608
        Other Markets In Greater China,2020Jan,3056
    North Asia,2020Jan,127547
        Japan,2020Jan,57234
        South Korea,2020Jan,70277
        Other Markets In North Asia,2020Jan,36
    South Asia,2020Jan,123324
        Bangladesh,2020Jan,11631
        India,2020Jan,99643
        Pakistan,2020Jan,1774
        Sri Lanka,2020Jan,6236
        Other Markets In South Asia,2020Jan,4040
    West Asia,2020Jan,13545
        Iran,2020Jan,493
        Israel,2020Jan,2958
        Kuwait,2020Jan,1127
        Saudi Arabia,2020Jan,3007
        United Arab Emirates,2020Jan,4178
        Other Markets In West Asia,2020Jan,1782
    Americas,2020Jan,98790
        Canada,2020Jan,15044
        USA,2020Jan,72577
        Other Markets In Americas,2020Jan,11169
    Europe,2020Jan,225192
        Belgium & Luxembourg,2020Jan,2704
        Denmark,2020Jan,3835
        Finland,2020Jan,3713
        France,2020Jan,16613
        Germany,2020Jan,40228
        Italy,2020Jan,10661
        Netherlands,2020Jan,7940
        Norway,2020Jan,3262
        Rep Of Ireland,2020Jan,2487
        Russian Federation,2020Jan,15880
        Spain,2020Jan,4872
        Sweden,2020Jan,6982
        Switzerland,2020Jan,8648
        United Kingdom,2020Jan,61634
        Other Markets In Europe,2020Jan,35733
    Oceania,2020Jan,148055
        Australia,2020Jan,130626
        New Zealand,2020Jan,15141
        Other Markets In Oceania,2020Jan,2288
    Africa,2020Jan,9271
        Egypt,2020Jan,584
        Mauritius,2020Jan,1185
        South Africa (Rep Of),2020Jan,4659
        Other Markets In Africa,2020Jan,2843
    Others,2020Jan,1
Total International Visitor Arrivals By Inbound Tourism Markets,2019Dec,1724961
    Southeast Asia,2019Dec,662907
        Brunei Darussalam,2019Dec,10298
        Indonesia,2019Dec,339505
        Malaysia,2019Dec,133278
        Myanmar,2019Dec,13536
        Philippines,2019Dec,76603
        Thailand,2019Dec,40733
        Vietnam,2019Dec,38451
        Other Markets In Southeast Asia,2019Dec,10503
    Greater China,2019Dec,342199
        China,2019Dec,272742
        Hong Kong SAR,2019Dec,44954
        Taiwan,2019Dec,20723
        Other Markets In Greater China,2019Dec,3780
    North Asia,2019Dec,118932
        Japan,2019Dec,69706
        South Korea,2019Dec,49219
        Other Markets In North Asia,2019Dec,7
    South Asia,2019Dec,146360
        Bangladesh,2019Dec,13812
        India,2019Dec,115193
        Pakistan,2019Dec,1976
        Sri Lanka,2019Dec,10983
        Other Markets In South Asia,2019Dec,4396
    West Asia,2019Dec,14757
        Iran,2019Dec,581
        Israel,2019Dec,2032
        Kuwait,2019Dec,729
        Saudi Arabia,2019Dec,1344
        United Arab Emirates,2019Dec,7174
        Other Markets In West Asia,2019Dec,2897
    Americas,2019Dec,100218
        Canada,2019Dec,14314
        USA,2019Dec,76133
        Other Markets In Americas,2019Dec,9771
    Europe,2019Dec,189183
        Belgium & Luxembourg,2019Dec,2536
        Denmark,2019Dec,2844
        Finland,2019Dec,3263
        France,2019Dec,13745
        Germany,2019Dec,34026
        Italy,2019Dec,11129
        Netherlands,2019Dec,7148
        Norway,2019Dec,2860
        Rep Of Ireland,2019Dec,2006
        Russian Federation,2019Dec,9629
        Spain,2019Dec,4942
        Sweden,2019Dec,6391
        Switzerland,2019Dec,8986
        United Kingdom,2019Dec,54172
        Other Markets In Europe,2019Dec,25506
    Oceania,2019Dec,134070
        Australia,2019Dec,117796
        New Zealand,2019Dec,13501
        Other Markets In Oceania,2019Dec,2773
    Africa,2019Dec,16335
        Egypt,2019Dec,637
        Mauritius,2019Dec,2920
        South Africa (Rep Of),2019Dec,8596
        Other Markets In Africa,2019Dec,4182
    Others,2019Dec,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Nov,1533668
    Southeast Asia,2019Nov,565680
        Brunei Darussalam,2019Nov,6366
        Indonesia,2019Nov,266774
        Malaysia,2019Nov,111473
        Myanmar,2019Nov,12598
        Philippines,2019Nov,72701
        Thailand,2019Nov,40986
        Vietnam,2019Nov,45125
        Other Markets In Southeast Asia,2019Nov,9657
    Greater China,2019Nov,319671
        China,2019Nov,248636
        Hong Kong SAR,2019Nov,40383
        Taiwan,2019Nov,28548
        Other Markets In Greater China,2019Nov,2104
    North Asia,2019Nov,125534
        Japan,2019Nov,72765
        South Korea,2019Nov,52765
        Other Markets In North Asia,2019Nov,4
    South Asia,2019Nov,139058
        Bangladesh,2019Nov,11040
        India,2019Nov,113717
        Pakistan,2019Nov,1474
        Sri Lanka,2019Nov,9755
        Other Markets In South Asia,2019Nov,3072
    West Asia,2019Nov,12438
        Iran,2019Nov,698
        Israel,2019Nov,2009
        Kuwait,2019Nov,450
        Saudi Arabia,2019Nov,999
        United Arab Emirates,2019Nov,6406
        Other Markets In West Asia,2019Nov,1876
    Americas,2019Nov,82972
        Canada,2019Nov,11355
        USA,2019Nov,63363
        Other Markets In Americas,2019Nov,8254
    Europe,2019Nov,179959
        Belgium & Luxembourg,2019Nov,2820
        Denmark,2019Nov,2800
        Finland,2019Nov,2775
        France,2019Nov,15407
        Germany,2019Nov,37191
        Italy,2019Nov,6074
        Netherlands,2019Nov,8111
        Norway,2019Nov,2584
        Rep Of Ireland,2019Nov,2201
        Russian Federation,2019Nov,8171
        Spain,2019Nov,4946
        Sweden,2019Nov,3908
        Switzerland,2019Nov,8759
        United Kingdom,2019Nov,48343
        Other Markets In Europe,2019Nov,25869
    Oceania,2019Nov,100883
        Australia,2019Nov,89052
        New Zealand,2019Nov,9615
        Other Markets In Oceania,2019Nov,2216
    Africa,2019Nov,7472
        Egypt,2019Nov,474
        Mauritius,2019Nov,1410
        South Africa (Rep Of),2019Nov,3042
        Other Markets In Africa,2019Nov,2546
    Others,2019Nov,1
Total International Visitor Arrivals By Inbound Tourism Markets,2019Oct,1530479
    Southeast Asia,2019Oct,555996
        Brunei Darussalam,2019Oct,4687
        Indonesia,2019Oct,251936
        Malaysia,2019Oct,97378
        Myanmar,2019Oct,13824
        Philippines,2019Oct,73812
        Thailand,2019Oct,63335
        Vietnam,2019Oct,41501
        Other Markets In Southeast Asia,2019Oct,9523
    Greater China,2019Oct,331072
        China,2019Oct,258611
        Hong Kong SAR,2019Oct,36073
        Taiwan,2019Oct,34588
        Other Markets In Greater China,2019Oct,1800
    North Asia,2019Oct,136707
        Japan,2019Oct,80106
        South Korea,2019Oct,56598
        Other Markets In North Asia,2019Oct,3
    South Asia,2019Oct,142972
        Bangladesh,2019Oct,12810
        India,2019Oct,116182
        Pakistan,2019Oct,1370
        Sri Lanka,2019Oct,8108
        Other Markets In South Asia,2019Oct,4502
    West Asia,2019Oct,12276
        Iran,2019Oct,738
        Israel,2019Oct,2982
        Kuwait,2019Oct,357
        Saudi Arabia,2019Oct,909
        United Arab Emirates,2019Oct,5338
        Other Markets In West Asia,2019Oct,1952
    Americas,2019Oct,68654
        Canada,2019Oct,8869
        USA,2019Oct,52674
        Other Markets In Americas,2019Oct,7111
    Europe,2019Oct,164050
        Belgium & Luxembourg,2019Oct,2576
        Denmark,2019Oct,3168
        Finland,2019Oct,2843
        France,2019Oct,16369
        Germany,2019Oct,28485
        Italy,2019Oct,5655
        Netherlands,2019Oct,7566
        Norway,2019Oct,2633
        Rep Of Ireland,2019Oct,2117
        Russian Federation,2019Oct,5569
        Spain,2019Oct,4798
        Sweden,2019Oct,3677
        Switzerland,2019Oct,8629
        United Kingdom,2019Oct,48679
        Other Markets In Europe,2019Oct,21286
    Oceania,2019Oct,112052
        Australia,2019Oct,97092
        New Zealand,2019Oct,13233
        Other Markets In Oceania,2019Oct,1727
    Africa,2019Oct,6697
        Egypt,2019Oct,402
        Mauritius,2019Oct,773
        South Africa (Rep Of),2019Oct,3087
        Other Markets In Africa,2019Oct,2435
    Others,2019Oct,3
Total International Visitor Arrivals By Inbound Tourism Markets,2019Sep,1463543
    Southeast Asia,2019Sep,511664
        Brunei Darussalam,2019Sep,6356
        Indonesia,2019Sep,237637
        Malaysia,2019Sep,98438
        Myanmar,2019Sep,11742
        Philippines,2019Sep,62660
        Thailand,2019Sep,39776
        Vietnam,2019Sep,44012
        Other Markets In Southeast Asia,2019Sep,11043
    Greater China,2019Sep,318888
        China,2019Sep,248568
        Hong Kong SAR,2019Sep,35351
        Taiwan,2019Sep,33138
        Other Markets In Greater China,2019Sep,1831
    North Asia,2019Sep,132515
        Japan,2019Sep,80823
        South Korea,2019Sep,51660
        Other Markets In North Asia,2019Sep,32
    South Asia,2019Sep,129203
        Bangladesh,2019Sep,10698
        India,2019Sep,105075
        Pakistan,2019Sep,1474
        Sri Lanka,2019Sep,8314
        Other Markets In South Asia,2019Sep,3642
    West Asia,2019Sep,11778
        Iran,2019Sep,1083
        Israel,2019Sep,2160
        Kuwait,2019Sep,382
        Saudi Arabia,2019Sep,959
        United Arab Emirates,2019Sep,5312
        Other Markets In West Asia,2019Sep,1882
    Americas,2019Sep,64342
        Canada,2019Sep,7996
        USA,2019Sep,49493
        Other Markets In Americas,2019Sep,6853
    Europe,2019Sep,159864
        Belgium & Luxembourg,2019Sep,2677
        Denmark,2019Sep,2878
        Finland,2019Sep,2210
        France,2019Sep,15137
        Germany,2019Sep,26979
        Italy,2019Sep,6993
        Netherlands,2019Sep,8423
        Norway,2019Sep,1975
        Rep Of Ireland,2019Sep,1945
        Russian Federation,2019Sep,4385
        Spain,2019Sep,6479
        Sweden,2019Sep,2307
        Switzerland,2019Sep,6753
        United Kingdom,2019Sep,49918
        Other Markets In Europe,2019Sep,20805
    Oceania,2019Sep,127327
        Australia,2019Sep,109506
        New Zealand,2019Sep,15783
        Other Markets In Oceania,2019Sep,2038
    Africa,2019Sep,7961
        Egypt,2019Sep,414
        Mauritius,2019Sep,625
        South Africa (Rep Of),2019Sep,4257
        Other Markets In Africa,2019Sep,2665
    Others,2019Sep,1
Total International Visitor Arrivals By Inbound Tourism Markets,2019Aug,1736102
    Southeast Asia,2019Aug,520958
        Brunei Darussalam,2019Aug,5156
        Indonesia,2019Aug,228095
        Malaysia,2019Aug,100225
        Myanmar,2019Aug,11942
        Philippines,2019Aug,66587
        Thailand,2019Aug,39919
        Vietnam,2019Aug,59034
        Other Markets In Southeast Asia,2019Aug,10000
    Greater China,2019Aug,499809
        China,2019Aug,397070
        Hong Kong SAR,2019Aug,52768
        Taiwan,2019Aug,45776
        Other Markets In Greater China,2019Aug,4195
    North Asia,2019Aug,173762
        Japan,2019Aug,108104
        South Korea,2019Aug,65643
        Other Markets In North Asia,2019Aug,15
    South Asia,2019Aug,135500
        Bangladesh,2019Aug,11808
        India,2019Aug,108736
        Pakistan,2019Aug,1547
        Sri Lanka,2019Aug,9693
        Other Markets In South Asia,2019Aug,3716
    West Asia,2019Aug,22847
        Iran,2019Aug,798
        Israel,2019Aug,1937
        Kuwait,2019Aug,2110
        Saudi Arabia,2019Aug,2490
        United Arab Emirates,2019Aug,11049
        Other Markets In West Asia,2019Aug,4463
    Americas,2019Aug,71328
        Canada,2019Aug,11130
        USA,2019Aug,54865
        Other Markets In Americas,2019Aug,5333
    Europe,2019Aug,203813
        Belgium & Luxembourg,2019Aug,4092
        Denmark,2019Aug,2781
        Finland,2019Aug,1226
        France,2019Aug,28953
        Germany,2019Aug,27209
        Italy,2019Aug,21699
        Netherlands,2019Aug,12792
        Norway,2019Aug,2106
        Rep Of Ireland,2019Aug,2093
        Russian Federation,2019Aug,4059
        Spain,2019Aug,12701
        Sweden,2019Aug,2454
        Switzerland,2019Aug,7687
        United Kingdom,2019Aug,50718
        Other Markets In Europe,2019Aug,23243
    Oceania,2019Aug,99796
        Australia,2019Aug,84023
        New Zealand,2019Aug,13913
        Other Markets In Oceania,2019Aug,1860
    Africa,2019Aug,8289
        Egypt,2019Aug,440
        Mauritius,2019Aug,943
        South Africa (Rep Of),2019Aug,2815
        Other Markets In Africa,2019Aug,4091
    Others,2019Aug,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Jul,1802593
    Southeast Asia,2019Jul,617788
        Brunei Darussalam,2019Jul,5882
        Indonesia,2019Jul,294173
        Malaysia,2019Jul,93071
        Myanmar,2019Jul,14805
        Philippines,2019Jul,68893
        Thailand,2019Jul,51916
        Vietnam,2019Jul,78515
        Other Markets In Southeast Asia,2019Jul,10533
    Greater China,2019Jul,498897
        China,2019Jul,389503
        Hong Kong SAR,2019Jul,50820
        Taiwan,2019Jul,55340
        Other Markets In Greater China,2019Jul,3234
    North Asia,2019Jul,130551
        Japan,2019Jul,71410
        South Korea,2019Jul,59119
        Other Markets In North Asia,2019Jul,22
    South Asia,2019Jul,138129
        Bangladesh,2019Jul,12564
        India,2019Jul,112026
        Pakistan,2019Jul,2581
        Sri Lanka,2019Jul,7768
        Other Markets In South Asia,2019Jul,3190
    West Asia,2019Jul,20611
        Iran,2019Jul,413
        Israel,2019Jul,1866
        Kuwait,2019Jul,1663
        Saudi Arabia,2019Jul,2489
        United Arab Emirates,2019Jul,9561
        Other Markets In West Asia,2019Jul,4619
    Americas,2019Jul,88663
        Canada,2019Jul,10260
        USA,2019Jul,71343
        Other Markets In Americas,2019Jul,7060
    Europe,2019Jul,173060
        Belgium & Luxembourg,2019Jul,4483
        Denmark,2019Jul,5408
        Finland,2019Jul,1992
        France,2019Jul,21953
        Germany,2019Jul,23843
        Italy,2019Jul,7418
        Netherlands,2019Jul,11757
        Norway,2019Jul,5103
        Rep Of Ireland,2019Jul,2722
        Russian Federation,2019Jul,4030
        Spain,2019Jul,6997
        Sweden,2019Jul,4199
        Switzerland,2019Jul,9690
        United Kingdom,2019Jul,43869
        Other Markets In Europe,2019Jul,19596
    Oceania,2019Jul,127346
        Australia,2019Jul,107383
        New Zealand,2019Jul,17922
        Other Markets In Oceania,2019Jul,2041
    Africa,2019Jul,7548
        Egypt,2019Jul,705
        Mauritius,2019Jul,1180
        South Africa (Rep Of),2019Jul,2900
        Other Markets In Africa,2019Jul,2763
    Others,2019Jul,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Jun,1551847
    Southeast Asia,2019Jun,622117
        Brunei Darussalam,2019Jun,5276
        Indonesia,2019Jun,311036
        Malaysia,2019Jun,102074
        Myanmar,2019Jun,12899
        Philippines,2019Jun,73977
        Thailand,2019Jun,35558
        Vietnam,2019Jun,72441
        Other Markets In Southeast Asia,2019Jun,8856
    Greater China,2019Jun,338988
        China,2019Jun,266107
        Hong Kong SAR,2019Jun,36226
        Taiwan,2019Jun,34189
        Other Markets In Greater China,2019Jun,2466
    North Asia,2019Jun,102441
        Japan,2019Jun,56709
        South Korea,2019Jun,45706
        Other Markets In North Asia,2019Jun,26
    South Asia,2019Jun,170742
        Bangladesh,2019Jun,13393
        India,2019Jun,144118
        Pakistan,2019Jun,2698
        Sri Lanka,2019Jun,7221
        Other Markets In South Asia,2019Jun,3312
    West Asia,2019Jun,14877
        Iran,2019Jun,388
        Israel,2019Jun,1502
        Kuwait,2019Jun,932
        Saudi Arabia,2019Jun,2204
        United Arab Emirates,2019Jun,6917
        Other Markets In West Asia,2019Jun,2934
    Americas,2019Jun,81305
        Canada,2019Jun,7436
        USA,2019Jun,67088
        Other Markets In Americas,2019Jun,6781
    Europe,2019Jun,110587
        Belgium & Luxembourg,2019Jun,1860
        Denmark,2019Jun,1881
        Finland,2019Jun,1867
        France,2019Jun,11822
        Germany,2019Jun,17574
        Italy,2019Jun,4404
        Netherlands,2019Jun,5341
        Norway,2019Jun,2319
        Rep Of Ireland,2019Jun,2108
        Russian Federation,2019Jun,3535
        Spain,2019Jun,3746
        Sweden,2019Jun,2612
        Switzerland,2019Jun,5089
        United Kingdom,2019Jun,32813
        Other Markets In Europe,2019Jun,13616
    Oceania,2019Jun,104003
        Australia,2019Jun,87793
        New Zealand,2019Jun,14219
        Other Markets In Oceania,2019Jun,1991
    Africa,2019Jun,6787
        Egypt,2019Jun,493
        Mauritius,2019Jun,802
        South Africa (Rep Of),2019Jun,3428
        Other Markets In Africa,2019Jun,2064
    Others,2019Jun,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019May,1487791
    Southeast Asia,2019May,535242
        Brunei Darussalam,2019May,5370
        Indonesia,2019May,215825
        Malaysia,2019May,106518
        Myanmar,2019May,13300
        Philippines,2019May,89800
        Thailand,2019May,45735
        Vietnam,2019May,49071
        Other Markets In Southeast Asia,2019May,9623
    Greater China,2019May,349842
        China,2019May,283445
        Hong Kong SAR,2019May,36429
        Taiwan,2019May,28308
        Other Markets In Greater China,2019May,1660
    North Asia,2019May,102715
        Japan,2019May,59138
        South Korea,2019May,43561
        Other Markets In North Asia,2019May,16
    South Asia,2019May,202168
        Bangladesh,2019May,9595
        India,2019May,182727
        Pakistan,2019May,856
        Sri Lanka,2019May,6772
        Other Markets In South Asia,2019May,2218
    West Asia,2019May,8729
        Iran,2019May,212
        Israel,2019May,1523
        Kuwait,2019May,130
        Saudi Arabia,2019May,378
        United Arab Emirates,2019May,5297
        Other Markets In West Asia,2019May,1189
    Americas,2019May,69238
        Canada,2019May,11015
        USA,2019May,51455
        Other Markets In Americas,2019May,6768
    Europe,2019May,119900
        Belgium & Luxembourg,2019May,1967
        Denmark,2019May,1850
        Finland,2019May,1483
        France,2019May,14413
        Germany,2019May,18753
        Italy,2019May,4775
        Netherlands,2019May,6589
        Norway,2019May,1791
        Rep Of Ireland,2019May,1623
        Russian Federation,2019May,5276
        Spain,2019May,3374
        Sweden,2019May,2402
        Switzerland,2019May,6347
        United Kingdom,2019May,34740
        Other Markets In Europe,2019May,14517
    Oceania,2019May,94996
        Australia,2019May,80476
        New Zealand,2019May,12791
        Other Markets In Oceania,2019May,1729
    Africa,2019May,4961
        Egypt,2019May,198
        Mauritius,2019May,590
        South Africa (Rep Of),2019May,2560
        Other Markets In Africa,2019May,1613
    Others,2019May,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Apr,1596724
    Southeast Asia,2019Apr,554453
        Brunei Darussalam,2019Apr,5159
        Indonesia,2019Apr,240868
        Malaysia,2019Apr,95076
        Myanmar,2019Apr,16252
        Philippines,2019Apr,83453
        Thailand,2019Apr,57010
        Vietnam,2019Apr,45613
        Other Markets In Southeast Asia,2019Apr,11022
    Greater China,2019Apr,389376
        China,2019Apr,302098
        Hong Kong SAR,2019Apr,52206
        Taiwan,2019Apr,32924
        Other Markets In Greater China,2019Apr,2148
    North Asia,2019Apr,104688
        Japan,2019Apr,65212
        South Korea,2019Apr,39464
        Other Markets In North Asia,2019Apr,12
    South Asia,2019Apr,145854
        Bangladesh,2019Apr,11091
        India,2019Apr,120225
        Pakistan,2019Apr,1293
        Sri Lanka,2019Apr,10438
        Other Markets In South Asia,2019Apr,2807
    West Asia,2019Apr,14102
        Iran,2019Apr,323
        Israel,2019Apr,2071
        Kuwait,2019Apr,514
        Saudi Arabia,2019Apr,1019
        United Arab Emirates,2019Apr,7716
        Other Markets In West Asia,2019Apr,2459
    Americas,2019Apr,75440
        Canada,2019Apr,11429
        USA,2019Apr,54189
        Other Markets In Americas,2019Apr,9822
    Europe,2019Apr,181375
        Belgium & Luxembourg,2019Apr,3530
        Denmark,2019Apr,3286
        Finland,2019Apr,2148
        France,2019Apr,17974
        Germany,2019Apr,33428
        Italy,2019Apr,6381
        Netherlands,2019Apr,7791
        Norway,2019Apr,3405
        Rep Of Ireland,2019Apr,2026
        Russian Federation,2019Apr,6112
        Spain,2019Apr,4865
        Sweden,2019Apr,3920
        Switzerland,2019Apr,9929
        United Kingdom,2019Apr,56004
        Other Markets In Europe,2019Apr,20576
    Oceania,2019Apr,124189
        Australia,2019Apr,107503
        New Zealand,2019Apr,14142
        Other Markets In Oceania,2019Apr,2544
    Africa,2019Apr,7247
        Egypt,2019Apr,415
        Mauritius,2019Apr,1192
        South Africa (Rep Of),2019Apr,3422
        Other Markets In Africa,2019Apr,2218
    Others,2019Apr,0
Total International Visitor Arrivals By Inbound Tourism Markets,2019Mar,1564664
    Southeast Asia,2019Mar,530303
        Brunei Darussalam,2019Mar,7996
        Indonesia,2019Mar,249164
        Malaysia,2019Mar,106200
        Myanmar,2019Mar,13499
        Philippines,2019Mar,59383
        Thailand,2019Mar,45072
        Vietnam,2019Mar,41153
        Other Markets In Southeast Asia,2019Mar,7836
    Greater China,2019Mar,365215
        China,2019Mar,300209
        Hong Kong SAR,2019Mar,34355
        Taiwan,2019Mar,29032
        Other Markets In Greater China,2019Mar,1619
