DataSeries,year_month,no_of_visitors
        Italy,2024Nov,5112
        Netherlands,2024Nov,7303
        Norway,2024Nov,2075
        Rep Of Ireland,2024Nov,2514
        Russian Federation,2024Nov,6235
        Spain,2024Nov,5432
        Sweden,2024Nov,2892
        Switzerland,2024Nov,7392
        United Kingdom,2024Nov,48607
        Other Markets In Europe,2024Nov,26761
    Oceania,2024Nov,106727
        Australia,2024Nov,92661
        New Zealand,2024Nov,10351
        Other Markets In Oceania,2024Nov,3715
    Africa,2024Nov,5659
        Egypt,2024Nov,364
        Mauritius,2024Nov,802
        South Africa (Rep Of),2024Nov,1821
        Other Markets In Africa,2024Nov,2672
    Others,2024Nov,36
Total International Visitor Arrivals By Inbound Tourism Markets,2024Oct,1314486
    Southeast Asia,2024Oct,444033
        Brunei Darussalam,2024Oct,3959
        Indonesia,2024Oct,183714
        Malaysia,2024Oct,103432
        Myanmar,2024Oct,11801
        Philippines,2024Oct,61488
        Thailand,2024Oct,44447
        Vietnam,2024Oct,27140
        Other Markets In Southeast Asia,2024Oct,8052
    Greater China,2024Oct,290844
        China,2024Oct,234528
        Hong Kong SAR,2024Oct,25197
        Taiwan,2024Oct,29237
        Other Markets In Greater China,2024Oct,1882
    North Asia,2024Oct,94009
        Japan,2024Oct,51819
        South Korea,2024Oct,42088
        Other Markets In North Asia,2024Oct,102
    South Asia,2024Oct,125788
        Bangladesh,2024Oct,12937
        India,2024Oct,102229
        Pakistan,2024Oct,1516
        Sri Lanka,2024Oct,4837
        Other Markets In South Asia,2024Oct,4269
    West Asia,2024Oct,14707
        Iran,2024Oct,385
        Israel,2024Oct,2123
        Kuwait,2024Oct,352
        Saudi Arabia,2024Oct,1597
        United Arab Emirates,2024Oct,7301
        Other Markets In West Asia,2024Oct,2949
    Americas,2024Oct,69879
        Canada,2024Oct,11402
        USA,2024Oct,50339
        Other Markets In Americas,2024Oct,8138
    Europe,2024Oct,151359
        Belgium & Luxembourg,2024Oct,2865
        Denmark,2024Oct,2636
        Finland,2024Oct,2470
        France,2024Oct,14969
        Germany,2024Oct,26180
        Italy,2024Oct,5864
        Netherlands,2024Oct,7381
        Norway,2024Oct,1710
