age_group,year_month,no_of_visitors
55-64 Years,2016-07-01,159781
65 & Over,2016-07-01,88145
Under 15 Years,2016-06-01,129230
15-19 Years,2016-06-01,52419
20-24 Years,2016-06-01,90968
25-34 Years,2016-06-01,276013
35-44 Years,2016-06-01,260660
45-54 Years,2016-06-01,213720
55-64 Years,2016-06-01,155979
65 & Over,2016-06-01,89797
Under 15 Years,2016-05-01,108185
15-19 Years,2016-05-01,38269
20-24 Years,2016-05-01,86320
25-34 Years,2016-05-01,309987
35-44 Years,2016-05-01,286032
45-54 Years,2016-05-01,239032
55-64 Years,2016-05-01,185338
65 & Over,2016-05-01,102723
Under 15 Years,2016-04-01,112380
15-19 Years,2016-04-01,33387
20-24 Years,2016-04-01,74862
25-34 Years,2016-04-01,308215
35-44 Years,2016-04-01,284831
45-54 Years,2016-04-01,243165
55-64 Years,2016-04-01,203081
65 & Over,2016-04-01,133548
Under 15 Years,2016-03-01,104082
15-19 Years,2016-03-01,35815
20-24 Years,2016-03-01,86912
25-34 Years,2016-03-01,303432
35-44 Years,2016-03-01,275429
45-54 Years,2016-03-01,246542
55-64 Years,2016-03-01,212274
65 & Over,2016-03-01,142111
Under 15 Years,2016-02-01,120253
15-19 Years,2016-02-01,38027
20-24 Years,2016-02-01,94991
25-34 Years,2016-02-01,286860
35-44 Years,2016-02-01,270470
45-54 Years,2016-02-01,226016
55-64 Years,2016-02-01,174408
65 & Over,2016-02-01,124072
Under 15 Years,2016-01-01,132605
15-19 Years,2016-01-01,51593
20-24 Years,2016-01-01,105460
25-34 Years,2016-01-01,293333
35-44 Years,2016-01-01,276822
45-54 Years,2016-01-01,237698
55-64 Years,2016-01-01,185404
65 & Over,2016-01-01,129207
Under 15 Years,2015-12-01,168817
15-19 Years,2015-12-01,70185
20-24 Years,2015-12-01,99027
25-34 Years,2015-12-01,296466
35-44 Years,2015-12-01,267789
45-54 Years,2015-12-01,230968
55-64 Years,2015-12-01,179412
65 & Over,2015-12-01,112314
Under 15 Years,2015-11-01,69576
15-19 Years,2015-11-01,32077
20-24 Years,2015-11-01,75163
25-34 Years,2015-11-01,282137
35-44 Years,2015-11-01,244642
45-54 Years,2015-11-01,215370
55-64 Years,2015-11-01,176824
65 & Over,2015-11-01,108203
Under 15 Years,2015-10-01,90059
15-19 Years,2015-10-01,35151
20-24 Years,2015-10-01,77497
25-34 Years,2015-10-01,303947
35-44 Years,2015-10-01,258373
45-54 Years,2015-10-01,216518
55-64 Years,2015-10-01,168337
65 & Over,2015-10-01,97065
Under 15 Years,2015-09-01,71574
15-19 Years,2015-09-01,26068
20-24 Years,2015-09-01,85772
25-34 Years,2015-09-01,295176
35-44 Years,2015-09-01,235165
45-54 Years,2015-09-01,196220
55-64 Years,2015-09-01,145024
65 & Over,2015-09-01,76977
Under 15 Years,2015-08-01,177320
15-19 Years,2015-08-01,64984
20-24 Years,2015-08-01,116219
25-34 Years,2015-08-01,315165
35-44 Years,2015-08-01,315810
45-54 Years,2015-08-01,230600
55-64 Years,2015-08-01,145104
65 & Over,2015-08-01,79860
Under 15 Years,2015-07-01,219582
15-19 Years,2015-07-01,86622
20-24 Years,2015-07-01,120068
25-34 Years,2015-07-01,305004
35-44 Years,2015-07-01,320949
45-54 Years,2015-07-01,238312
55-64 Years,2015-07-01,148909
65 & Over,2015-07-01,79787
Under 15 Years,2015-06-01,114518
15-19 Years,2015-06-01,50513
20-24 Years,2015-06-01,85015
25-34 Years,2015-06-01,265036
35-44 Years,2015-06-01,248726
45-54 Years,2015-06-01,199935
55-64 Years,2015-06-01,140932
65 & Over,2015-06-01,80072
Under 15 Years,2015-05-01,100766
15-19 Years,2015-05-01,35165
20-24 Years,2015-05-01,80471
25-34 Years,2015-05-01,292179
35-44 Years,2015-05-01,260609
45-54 Years,2015-05-01,208367
55-64 Years,2015-05-01,157075
65 & Over,2015-05-01,88204
Under 15 Years,2015-04-01,110283
15-19 Years,2015-04-01,32748
20-24 Years,2015-04-01,68571
25-34 Years,2015-04-01,275269
35-44 Years,2015-04-01,255878
45-54 Years,2015-04-01,208358
55-64 Years,2015-04-01,159755
65 & Over,2015-04-01,97760
Under 15 Years,2015-03-01,81074
15-19 Years,2015-03-01,32562
20-24 Years,2015-03-01,75694
25-34 Years,2015-03-01,272083
35-44 Years,2015-03-01,246968
45-54 Years,2015-03-01,210969
55-64 Years,2015-03-01,168740
65 & Over,2015-03-01,113558
Under 15 Years,2015-02-01,116407
15-19 Years,2015-02-01,35267
20-24 Years,2015-02-01,83588
25-34 Years,2015-02-01,251059
35-44 Years,2015-02-01,244750
45-54 Years,2015-02-01,193777
55-64 Years,2015-02-01,150901
65 & Over,2015-02-01,113069
Under 15 Years,2015-01-01,108935
15-19 Years,2015-01-01,47226
20-24 Years,2015-01-01,91577
25-34 Years,2015-01-01,270410
35-44 Years,2015-01-01,250470
45-54 Years,2015-01-01,213928
55-64 Years,2015-01-01,162938
65 & Over,2015-01-01,107124
Under 15 Years,2014-12-01,168483
15-19 Years,2014-12-01,67350
20-24 Years,2014-12-01,97897
25-34 Years,2014-12-01,288004
35-44 Years,2014-12-01,267324
45-54 Years,2014-12-01,218257
55-64 Years,2014-12-01,157827
65 & Over,2014-12-01,95399
Under 15 Years,2014-11-01,63512
15-19 Years,2014-11-01,29693
20-24 Years,2014-11-01,73071
25-34 Years,2014-11-01,277952
35-44 Years,2014-11-01,245750
45-54 Years,2014-11-01,207798
55-64 Years,2014-11-01,157573
65 & Over,2014-11-01,88881
Under 15 Years,2014-10-01,95111
15-19 Years,2014-10-01,38128
20-24 Years,2014-10-01,76597
25-34 Years,2014-10-01,294361
35-44 Years,2014-10-01,257139
45-54 Years,2014-10-01,204555
55-64 Years,2014-10-01,151573
65 & Over,2014-10-01,86063
Under 15 Years,2014-09-01,65447
15-19 Years,2014-09-01,24123
20-24 Years,2014-09-01,84021
25-34 Years,2014-09-01,288578
35-44 Years,2014-09-01,236138
45-54 Years,2014-09-01,191424
55-64 Years,2014-09-01,137939
65 & Over,2014-09-01,70956
Under 15 Years,2014-08-01,166000
15-19 Years,2014-08-01,58666
20-24 Years,2014-08-01,109775
25-34 Years,2014-08-01,303440
35-44 Years,2014-08-01,297033
45-54 Years,2014-08-01,221152
55-64 Years,2014-08-01,135709
65 & Over,2014-08-01,71160
Under 15 Years,2014-07-01,198253
15-19 Years,2014-07-01,73859
20-24 Years,2014-07-01,112592
25-34 Years,2014-07-01,288800
35-44 Years,2014-07-01,299358
45-54 Years,2014-07-01,222629
55-64 Years,2014-07-01,138987
65 & Over,2014-07-01,73922
Under 15 Years,2014-06-01,124916
15-19 Years,2014-06-01,52373
20-24 Years,2014-06-01,86220
25-34 Years,2014-06-01,265077
35-44 Years,2014-06-01,257449
45-54 Years,2014-06-01,196756
55-64 Years,2014-06-01,129031
65 & Over,2014-06-01,69600
Under 15 Years,2014-05-01,102705
15-19 Years,2014-05-01,35068
20-24 Years,2014-05-01,81960
25-34 Years,2014-05-01,297250
35-44 Years,2014-05-01,267572
45-54 Years,2014-05-01,205276
55-64 Years,2014-05-01,142940
65 & Over,2014-05-01,75761
Under 15 Years,2014-04-01,118875
15-19 Years,2014-04-01,35496
20-24 Years,2014-04-01,73347
25-34 Years,2014-04-01,286384
35-44 Years,2014-04-01,272028
45-54 Years,2014-04-01,211420
55-64 Years,2014-04-01,154993
65 & Over,2014-04-01,92763
Under 15 Years,2014-03-01,84662
15-19 Years,2014-03-01,31314
20-24 Years,2014-03-01,80844
25-34 Years,2014-03-01,298016
35-44 Years,2014-03-01,267508
45-54 Years,2014-03-01,227701
55-64 Years,2014-03-01,184072
65 & Over,2014-03-01,123434
Under 15 Years,2014-02-01,92866
15-19 Years,2014-02-01,34139
20-24 Years,2014-02-01,91093
25-34 Years,2014-02-01,278601
35-44 Years,2014-02-01,260314
45-54 Years,2014-02-01,215952
55-64 Years,2014-02-01,160593
65 & Over,2014-02-01,104680
Under 15 Years,2014-01-01,143843
15-19 Years,2014-01-01,53487
20-24 Years,2014-01-01,97818
25-34 Years,2014-01-01,289937
35-44 Years,2014-01-01,280977
45-54 Years,2014-01-01,224158
55-64 Years,2014-01-01,155723
65 & Over,2014-01-01,99899
Under 15 Years,2013-12-01,168716
15-19 Years,2013-12-01,68895
20-24 Years,2013-12-01,99581
25-34 Years,2013-12-01,296588
35-44 Years,2013-12-01,271033
45-54 Years,2013-12-01,219490
55-64 Years,2013-12-01,155138
65 & Over,2013-12-01,87961
Under 15 Years,2013-11-01,73478
15-19 Years,2013-11-01,34066
20-24 Years,2013-11-01,77197
25-34 Years,2013-11-01,280643
35-44 Years,2013-11-01,250374
45-54 Years,2013-11-01,213621
55-64 Years,2013-11-01,162989
65 & Over,2013-11-01,91634
Under 15 Years,2013-10-01,93547
15-19 Years,2013-10-01,37485
20-24 Years,2013-10-01,78004
25-34 Years,2013-10-01,288614
35-44 Years,2013-10-01,257748
45-54 Years,2013-10-01,210199
55-64 Years,2013-10-01,153095
65 & Over,2013-10-01,84454
Under 15 Years,2013-09-01,63913
15-19 Years,2013-09-01,24547
20-24 Years,2013-09-01,89118
25-34 Years,2013-09-01,303924
35-44 Years,2013-09-01,245712
45-54 Years,2013-09-01,209160
55-64 Years,2013-09-01,160082
65 & Over,2013-09-01,78158
Under 15 Years,2013-08-01,194289
15-19 Years,2013-08-01,72410
20-24 Years,2013-08-01,117354
25-34 Years,2013-08-01,318155
35-44 Years,2013-08-01,317944
45-54 Years,2013-08-01,238947
55-64 Years,2013-08-01,147777
65 & Over,2013-08-01,74630
Under 15 Years,2013-07-01,183900
15-19 Years,2013-07-01,75622
20-24 Years,2013-07-01,110234
25-34 Years,2013-07-01,292653
35-44 Years,2013-07-01,305558
45-54 Years,2013-07-01,233258
55-64 Years,2013-07-01,143570
65 & Over,2013-07-01,72555
Under 15 Years,2013-06-01,130289
15-19 Years,2013-06-01,50131
20-24 Years,2013-06-01,89065
25-34 Years,2013-06-01,287684
35-44 Years,2013-06-01,275829
45-54 Years,2013-06-01,221595
55-64 Years,2013-06-01,152181
65 & Over,2013-06-01,79822
Under 15 Years,2013-05-01,101019
15-19 Years,2013-05-01,37239
20-24 Years,2013-05-01,79717
25-34 Years,2013-05-01,295530
35-44 Years,2013-05-01,273555
45-54 Years,2013-05-01,226085
55-64 Years,2013-05-01,176333
65 & Over,2013-05-01,96521
Under 15 Years,2013-04-01,98713
15-19 Years,2013-04-01,32431
20-24 Years,2013-04-01,70791
25-34 Years,2013-04-01,283439
35-44 Years,2013-04-01,264480
45-54 Years,2013-04-01,225866
55-64 Years,2013-04-01,187983
65 & Over,2013-04-01,107412
Under 15 Years,2013-03-01,98002
15-19 Years,2013-03-01,37010
20-24 Years,2013-03-01,84020
25-34 Years,2013-03-01,296175
35-44 Years,2013-03-01,275235
45-54 Years,2013-03-01,242220
55-64 Years,2013-03-01,207566
65 & Over,2013-03-01,126495
Under 15 Years,2013-02-01,103164
15-19 Years,2013-02-01,37086
20-24 Years,2013-02-01,87694
25-34 Years,2013-02-01,269516
35-44 Years,2013-02-01,256443
45-54 Years,2013-02-01,211044
55-64 Years,2013-02-01,155939
65 & Over,2013-02-01,98860
Under 15 Years,2013-01-01,111277
15-19 Years,2013-01-01,45862
20-24 Years,2013-01-01,96847
25-34 Years,2013-01-01,288056
35-44 Years,2013-01-01,269001
45-54 Years,2013-01-01,226599
55-64 Years,2013-01-01,159958
65 & Over,2013-01-01,92734
Under 15 Years,2012-12-01,154349
15-19 Years,2012-12-01,63515
20-24 Years,2012-12-01,100716
25-34 Years,2012-12-01,294474
35-44 Years,2012-12-01,271216
45-54 Years,2012-12-01,224531
55-64 Years,2012-12-01,162566
65 & Over,2012-12-01,87115
Under 15 Years,2012-11-01,72070
15-19 Years,2012-11-01,35396
20-24 Years,2012-11-01,80536
25-34 Years,2012-11-01,283180
35-44 Years,2012-11-01,254487
45-54 Years,2012-11-01,220602
55-64 Years,2012-11-01,171920
65 & Over,2012-11-01,91819
Under 15 Years,2012-10-01,81524
15-19 Years,2012-10-01,31440
20-24 Years,2012-10-01,76866
25-34 Years,2012-10-01,286080
35-44 Years,2012-10-01,254893
45-54 Years,2012-10-01,214893
55-64 Years,2012-10-01,161104
65 & Over,2012-10-01,83467
Under 15 Years,2012-09-01,54566
15-19 Years,2012-09-01,23074
20-24 Years,2012-09-01,81004
25-34 Years,2012-09-01,276761
35-44 Years,2012-09-01,228160
45-54 Years,2012-09-01,189326
55-64 Years,2012-09-01,135375
65 & Over,2012-09-01,61938
Under 15 Years,2012-08-01,155823
15-19 Years,2012-08-01,64926
20-24 Years,2012-08-01,103976
25-34 Years,2012-08-01,287528
35-44 Years,2012-08-01,281581
45-54 Years,2012-08-01,217901
55-64 Years,2012-08-01,135029
65 & Over,2012-08-01,65264
Under 15 Years,2012-07-01,152739
15-19 Years,2012-07-01,70137
20-24 Years,2012-07-01,99793
25-34 Years,2012-07-01,272198
35-44 Years,2012-07-01,276377
45-54 Years,2012-07-01,217616
55-64 Years,2012-07-01,131333
65 & Over,2012-07-01,62618
Under 15 Years,2012-06-01,111830
15-19 Years,2012-06-01,48265
20-24 Years,2012-06-01,81911
25-34 Years,2012-06-01,257695
35-44 Years,2012-06-01,248372
45-54 Years,2012-06-01,200776
55-64 Years,2012-06-01,136072
65 & Over,2012-06-01,70841
Under 15 Years,2012-05-01,82524
15-19 Years,2012-05-01,33576
20-24 Years,2012-05-01,74951
25-34 Years,2012-05-01,267939
35-44 Years,2012-05-01,250535
45-54 Years,2012-05-01,203971
55-64 Years,2012-05-01,150496
65 & Over,2012-05-01,79955
Under 15 Years,2012-04-01,94766
15-19 Years,2012-04-01,34900
20-24 Years,2012-04-01,69814
25-34 Years,2012-04-01,271710
35-44 Years,2012-04-01,254828
45-54 Years,2012-04-01,212631
55-64 Years,2012-04-01,165844
65 & Over,2012-04-01,94267
Under 15 Years,2012-03-01,75655
15-19 Years,2012-03-01,31447
20-24 Years,2012-03-01,75010
25-34 Years,2012-03-01,281338
35-44 Years,2012-03-01,257527
45-54 Years,2012-03-01,222706
55-64 Years,2012-03-01,182668
65 & Over,2012-03-01,113867
Under 15 Years,2012-02-01,62105
15-19 Years,2012-02-01,29095
20-24 Years,2012-02-01,85617
25-34 Years,2012-02-01,266657
35-44 Years,2012-02-01,239285
45-54 Years,2012-02-01,204761
55-64 Years,2012-02-01,153810
65 & Over,2012-02-01,90789
Under 15 Years,2012-01-01,121478
15-19 Years,2012-01-01,48926
20-24 Years,2012-01-01,84079
25-34 Years,2012-01-01,258475
35-44 Years,2012-01-01,254054
45-54 Years,2012-01-01,205189
55-64 Years,2012-01-01,140878
65 & Over,2012-01-01,83110
Under 15 Years,2011-12-01,140283
15-19 Years,2011-12-01,60591
20-24 Years,2011-12-01,92406
25-34 Years,2011-12-01,268262
35-44 Years,2011-12-01,247029
45-54 Years,2011-12-01,200570
55-64 Years,2011-12-01,134277
65 & Over,2011-12-01,71094
Under 15 Years,2011-11-01,58451
15-19 Years,2011-11-01,29905
20-24 Years,2011-11-01,68325
25-34 Years,2011-11-01,248649
35-44 Years,2011-11-01,226331
45-54 Years,2011-11-01,188282
55-64 Years,2011-11-01,135188
65 & Over,2011-11-01,70733
Under 15 Years,2011-10-01,73643
15-19 Years,2011-10-01,33370
20-24 Years,2011-10-01,70497
25-34 Years,2011-10-01,256463
35-44 Years,2011-10-01,235857
45-54 Years,2011-10-01,198856
55-64 Years,2011-10-01,143084
65 & Over,2011-10-01,71199
Under 15 Years,2011-09-01,65427
15-19 Years,2011-09-01,26520
20-24 Years,2011-09-01,77793
25-34 Years,2011-09-01,264880
35-44 Years,2011-09-01,224223
45-54 Years,2011-09-01,185561
55-64 Years,2011-09-01,128604
65 & Over,2011-09-01,58584
Under 15 Years,2011-08-01,132744
15-19 Years,2011-08-01,54015
20-24 Years,2011-08-01,92871
25-34 Years,2011-08-01,262087
35-44 Years,2011-08-01,258266
45-54 Years,2011-08-01,197846
55-64 Years,2011-08-01,119853
65 & Over,2011-08-01,58375
Under 15 Years,2011-07-01,153479
15-19 Years,2011-07-01,68919
20-24 Years,2011-07-01,98949
25-34 Years,2011-07-01,268765
35-44 Years,2011-07-01,276060
45-54 Years,2011-07-01,216850
55-64 Years,2011-07-01,127939
65 & Over,2011-07-01,60193
Under 15 Years,2011-06-01,109017
15-19 Years,2011-06-01,44949
20-24 Years,2011-06-01,73709
25-34 Years,2011-06-01,242729
35-44 Years,2011-06-01,238199
45-54 Years,2011-06-01,186784
55-64 Years,2011-06-01,120988
65 & Over,2011-06-01,61555
Under 15 Years,2011-05-01,78644
15-19 Years,2011-05-01,32301
20-24 Years,2011-05-01,66713
25-34 Years,2011-05-01,245391
35-44 Years,2011-05-01,237352
45-54 Years,2011-05-01,190996
55-64 Years,2011-05-01,133128
65 & Over,2011-05-01,67245
Under 15 Years,2011-04-01,96914
15-19 Years,2011-04-01,34485
20-24 Years,2011-04-01,63711
25-34 Years,2011-04-01,245797
35-44 Years,2011-04-01,239910
45-54 Years,2011-04-01,196726
55-64 Years,2011-04-01,144455
65 & Over,2011-04-01,79175
Under 15 Years,2011-03-01,63209
15-19 Years,2011-03-01,26769
20-24 Years,2011-03-01,66747
25-34 Years,2011-03-01,242407
35-44 Years,2011-03-01,227915
45-54 Years,2011-03-01,193280
55-64 Years,2011-03-01,154177
65 & Over,2011-03-01,95021
Under 15 Years,2011-02-01,70734
15-19 Years,2011-02-01,30195
20-24 Years,2011-02-01,69573
25-34 Years,2011-02-01,224307
35-44 Years,2011-02-01,215119
45-54 Years,2011-02-01,177824
55-64 Years,2011-02-01,127659
65 & Over,2011-02-01,72581
Under 15 Years,2011-01-01,88703
15-19 Years,2011-01-01,38282
20-24 Years,2011-01-01,74506
25-34 Years,2011-01-01,234491
35-44 Years,2011-01-01,229438
45-54 Years,2011-01-01,186833
55-64 Years,2011-01-01,128853
65 & Over,2011-01-01,72837
Under 15 Years,2010-12-01,133186
15-19 Years,2010-12-01,55429
20-24 Years,2010-12-01,83600
25-34 Years,2010-12-01,240016
35-44 Years,2010-12-01,231190
45-54 Years,2010-12-01,189657
55-64 Years,2010-12-01,126060
65 & Over,2010-12-01,66638
Under 15 Years,2010-11-01,56240
15-19 Years,2010-11-01,27260
20-24 Years,2010-11-01,63027
25-34 Years,2010-11-01,225533
35-44 Years,2010-11-01,213696
45-54 Years,2010-11-01,180168
55-64 Years,2010-11-01,129839
65 & Over,2010-11-01,66758
Under 15 Years,2010-10-01,64650
15-19 Years,2010-10-01,26936
20-24 Years,2010-10-01,63602
25-34 Years,2010-10-01,233885
35-44 Years,2010-10-01,218466
45-54 Years,2010-10-01,180431
55-64 Years,2010-10-01,126901
65 & Over,2010-10-01,62171
Under 15 Years,2010-09-01,75780
15-19 Years,2010-09-01,28618
20-24 Years,2010-09-01,69641
25-34 Years,2010-09-01,230205
35-44 Years,2010-09-01,204048
45-54 Years,2010-09-01,169830
55-64 Years,2010-09-01,114764
65 & Over,2010-09-01,52893
Under 15 Years,2010-08-01,93130
15-19 Years,2010-08-01,44605
20-24 Years,2010-08-01,79045
25-34 Years,2010-08-01,225989
35-44 Years,2010-08-01,220936
45-54 Years,2010-08-01,175718
55-64 Years,2010-08-01,104654
65 & Over,2010-08-01,50772
Under 15 Years,2010-07-01,128663
15-19 Years,2010-07-01,57065
20-24 Years,2010-07-01,84146
25-34 Years,2010-07-01,230664
35-44 Years,2010-07-01,235538
45-54 Years,2010-07-01,190028
55-64 Years,2010-07-01,113066
65 & Over,2010-07-01,53593
Under 15 Years,2010-06-01,95854
15-19 Years,2010-06-01,38945
20-24 Years,2010-06-01,65082
25-34 Years,2010-06-01,210797
35-44 Years,2010-06-01,211982
45-54 Years,2010-06-01,165639
55-64 Years,2010-06-01,106037
65 & Over,2010-06-01,54462
Under 15 Years,2010-05-01,69810
15-19 Years,2010-05-01,28673
20-24 Years,2010-05-01,61959
25-34 Years,2010-05-01,224168
35-44 Years,2010-05-01,215732
45-54 Years,2010-05-01,171445
55-64 Years,2010-05-01,115531
65 & Over,2010-05-01,57060
Under 15 Years,2010-04-01,70404
15-19 Years,2010-04-01,26416
20-24 Years,2010-04-01,55605
25-34 Years,2010-04-01,215334
35-44 Years,2010-04-01,209375
45-54 Years,2010-04-01,171377
55-64 Years,2010-04-01,122394
65 & Over,2010-04-01,65671
Under 15 Years,2010-03-01,54093
15-19 Years,2010-03-01,23263
20-24 Years,2010-03-01,60207
25-34 Years,2010-03-01,210247
35-44 Years,2010-03-01,200928
45-54 Years,2010-03-01,170120
55-64 Years,2010-03-01,129811
65 & Over,2010-03-01,77627
Under 15 Years,2010-02-01,64018
15-19 Years,2010-02-01,26685
20-24 Years,2010-02-01,61865
25-34 Years,2010-02-01,191112
35-44 Years,2010-02-01,183764
45-54 Years,2010-02-01,151853
55-64 Years,2010-02-01,109704
65 & Over,2010-02-01,66199
Under 15 Years,2010-01-01,64508
15-19 Years,2010-01-01,28575
20-24 Years,2010-01-01,65892
25-34 Years,2010-01-01,207351
35-44 Years,2010-01-01,193140
45-54 Years,2010-01-01,166527
55-64 Years,2010-01-01,117187
65 & Over,2010-01-01,63062
Under 15 Years,2009-12-01,108205
15-19 Years,2009-12-01,47016
20-24 Years,2009-12-01,76892
25-34 Years,2009-12-01,213822
35-44 Years,2009-12-01,195561
45-54 Years,2009-12-01,162269
55-64 Years,2009-12-01,108380
65 & Over,2009-12-01,58193
Under 15 Years,2009-11-01,40857
15-19 Years,2009-11-01,21660
20-24 Years,2009-11-01,57218
25-34 Years,2009-11-01,198024
35-44 Years,2009-11-01,180012
45-54 Years,2009-11-01,155438
55-64 Years,2009-11-01,113552
65 & Over,2009-11-01,61845
Under 15 Years,2009-10-01,51583
15-19 Years,2009-10-01,23023
20-24 Years,2009-10-01,56676
25-34 Years,2009-10-01,206237
35-44 Years,2009-10-01,185544
45-54 Years,2009-10-01,155462
55-64 Years,2009-10-01,108512
65 & Over,2009-10-01,56213
Under 15 Years,2009-09-01,57192
15-19 Years,2009-09-01,23029
20-24 Years,2009-09-01,62629
25-34 Years,2009-09-01,200133
35-44 Years,2009-09-01,172805
45-54 Years,2009-09-01,142636
55-64 Years,2009-09-01,95143
65 & Over,2009-09-01,44157
Under 15 Years,2009-08-01,72299
15-19 Years,2009-08-01,32554
20-24 Years,2009-08-01,70810
25-34 Years,2009-08-01,200101
35-44 Years,2009-08-01,185955
45-54 Years,2009-08-01,150044
55-64 Years,2009-08-01,90065
65 & Over,2009-08-01,40924
Under 15 Years,2009-07-01,90249
15-19 Years,2009-07-01,43909
20-24 Years,2009-07-01,74385
25-34 Years,2009-07-01,196127
35-44 Years,2009-07-01,189019
45-54 Years,2009-07-01,153932
55-64 Years,2009-07-01,91565
65 & Over,2009-07-01,40733
Under 15 Years,2009-06-01,67929
15-19 Years,2009-06-01,29648
20-24 Years,2009-06-01,57829
25-34 Years,2009-06-01,174049
35-44 Years,2009-06-01,166539
45-54 Years,2009-06-01,131257
55-64 Years,2009-06-01,81756
65 & Over,2009-06-01,39837
Under 15 Years,2009-05-01,49382
15-19 Years,2009-05-01,19041
20-24 Years,2009-05-01,50387
25-34 Years,2009-05-01,178883
35-44 Years,2009-05-01,161860
45-54 Years,2009-05-01,129766
55-64 Years,2009-05-01,89554
65 & Over,2009-05-01,46010
Under 15 Years,2009-04-01,59748
15-19 Years,2009-04-01,22315
20-24 Years,2009-04-01,48774
25-34 Years,2009-04-01,176697
35-44 Years,2009-04-01,167238
45-54 Years,2009-04-01,142192
55-64 Years,2009-04-01,103085
65 & Over,2009-04-01,57310
Under 15 Years,2009-03-01,41522
15-19 Years,2009-03-01,19862
20-24 Years,2009-03-01,51922
25-34 Years,2009-03-01,178191
35-44 Years,2009-03-01,166112
45-54 Years,2009-03-01,143657
55-64 Years,2009-03-01,114318
65 & Over,2009-03-01,73873
Under 15 Years,2009-02-01,32558
15-19 Years,2009-02-01,17887
20-24 Years,2009-02-01,54288
25-34 Years,2009-02-01,161808
35-44 Years,2009-02-01,148619
45-54 Years,2009-02-01,126074
55-64 Years,2009-02-01,93857
65 & Over,2009-02-01,53233
Under 15 Years,2009-01-01,67172
15-19 Years,2009-01-01,31846
20-24 Years,2009-01-01,56822
25-34 Years,2009-01-01,172572
35-44 Years,2009-01-01,165525
45-54 Years,2009-01-01,134330
55-64 Years,2009-01-01,90860
65 & Over,2009-01-01,51349
Under 15 Years,2008-12-01,91341
15-19 Years,2008-12-01,46368
20-24 Years,2008-12-01,75030
25-34 Years,2008-12-01,203587
35-44 Years,2008-12-01,179469
45-54 Years,2008-12-01,146325
55-64 Years,2008-12-01,94665
65 & Over,2008-12-01,49678
Under 15 Years,2008-11-01,34998
15-19 Years,2008-11-01,25954
20-24 Years,2008-11-01,54097
25-34 Years,2008-11-01,185178
35-44 Years,2008-11-01,171094
45-54 Years,2008-11-01,141820
55-64 Years,2008-11-01,98974
65 & Over,2008-11-01,51580
Under 15 Years,2008-10-01,57802
15-19 Years,2008-10-01,31181
20-24 Years,2008-10-01,58077
25-34 Years,2008-10-01,202118
35-44 Years,2008-10-01,187458
45-54 Years,2008-10-01,154123
55-64 Years,2008-10-01,104824
65 & Over,2008-10-01,52177
Under 15 Years,2008-09-01,41785
15-19 Years,2008-09-01,19413
20-24 Years,2008-09-01,61250
25-34 Years,2008-09-01,194776
35-44 Years,2008-09-01,169643
45-54 Years,2008-09-01,131646
55-64 Years,2008-09-01,86060
65 & Over,2008-09-01,39821
Under 15 Years,2008-08-01,74194
15-19 Years,2008-08-01,34974
20-24 Years,2008-08-01,72037
25-34 Years,2008-08-01,203437
35-44 Years,2008-08-01,192567
45-54 Years,2008-08-01,148752
55-64 Years,2008-08-01,85315
65 & Over,2008-08-01,36870
Under 15 Years,2008-07-01,96209
15-19 Years,2008-07-01,48543
20-24 Years,2008-07-01,79156
25-34 Years,2008-07-01,206152
35-44 Years,2008-07-01,201967
45-54 Years,2008-07-01,157975
55-64 Years,2008-07-01,89684
65 & Over,2008-07-01,40952
Under 15 Years,2008-06-01,67356
15-19 Years,2008-06-01,32644
20-24 Years,2008-06-01,63928
25-34 Years,2008-06-01,193851
35-44 Years,2008-06-01,185065
45-54 Years,2008-06-01,144582
55-64 Years,2008-06-01,89878
65 & Over,2008-06-01,43717
Under 15 Years,2008-05-01,54648
15-19 Years,2008-05-01,22357
20-24 Years,2008-05-01,57002
25-34 Years,2008-05-01,199571
35-44 Years,2008-05-01,192780
45-54 Years,2008-05-01,153796
55-64 Years,2008-05-01,101502
65 & Over,2008-05-01,49991
Under 15 Years,2008-04-01,49330
15-19 Years,2008-04-01,19998
20-24 Years,2008-04-01,51674
25-34 Years,2008-04-01,194517
35-44 Years,2008-04-01,192085
45-54 Years,2008-04-01,157544
55-64 Years,2008-04-01,106607
65 & Over,2008-04-01,55842
Under 15 Years,2008-03-01,55635
15-19 Years,2008-03-01,23576
20-24 Years,2008-03-01,61040
25-34 Years,2008-03-01,207814
35-44 Years,2008-03-01,199868
45-54 Years,2008-03-01,166022
55-64 Years,2008-03-01,121051
65 & Over,2008-03-01,73515
Under 15 Years,2008-02-01,51348
15-19 Years,2008-02-01,23820
20-24 Years,2008-02-01,60680
25-34 Years,2008-02-01,186124
35-44 Years,2008-02-01,181599
45-54 Years,2008-02-01,147720
55-64 Years,2008-02-01,101764
65 & Over,2008-02-01,57564
Under 15 Years,2008-01-01,62049
15-19 Years,2008-01-01,32399
20-24 Years,2008-01-01,64999
25-34 Years,2008-01-01,200758
35-44 Years,2008-01-01,197797
45-54 Years,2008-01-01,161366
55-64 Years,2008-01-01,105838
65 & Over,2008-01-01,57795
