Region/Country,year_month,no_of_visitors
Italy,2024-11-01,5112
Netherlands,2024-11-01,7303
Norway,2024-11-01,2075
Rep Of Ireland,2024-11-01,2514
Russian Federation,2024-11-01,6235
Spain,2024-11-01,5432
Sweden,2024-11-01,2892
Switzerland,2024-11-01,7392
United Kingdom,2024-11-01,48607
Other Markets In Europe,2024-11-01,26761
Oceania,2024-11-01,106727
Australia,2024-11-01,92661
New Zealand,2024-11-01,10351
Other Markets In Oceania,2024-11-01,3715
Africa,2024-11-01,5659
Egypt,2024-11-01,364
Mauritius,2024-11-01,802
South Africa (Rep Of),2024-11-01,1821
Other Markets In Africa,2024-11-01,2672
Others,2024-11-01,36
Total International Visitor Arrivals By Inbound Tourism Markets,2024-10-01,1314486
Southeast Asia,2024-10-01,444033
Brunei Darussalam,2024-10-01,3959
Indonesia,2024-10-01,183714
Malaysia,2024-10-01,103432
Myanmar,2024-10-01,11801
Philippines,2024-10-01,61488
Thailand,2024-10-01,44447
Vietnam,2024-10-01,27140
Other Markets In Southeast Asia,2024-10-01,8052
Greater China,2024-10-01,290844
China,2024-10-01,234528
Hong Kong SAR,2024-10-01,25197
Taiwan,2024-10-01,29237
Other Markets In Greater China,2024-10-01,1882
North Asia,2024-10-01,94009
Japan,2024-10-01,51819
South Korea,2024-10-01,42088
Other Markets In North Asia,2024-10-01,102
South Asia,2024-10-01,125788
Bangladesh,2024-10-01,12937
India,2024-10-01,102229
Pakistan,2024-10-01,1516
Sri Lanka,2024-10-01,4837
Other Markets In South Asia,2024-10-01,4269
West Asia,2024-10-01,14707
Iran,2024-10-01,385
Israel,2024-10-01,2123
Kuwait,2024-10-01,352
Saudi Arabia,2024-10-01,1597
United Arab Emirates,2024-10-01,7301
Other Markets In West Asia,2024-10-01,2949
Americas,2024-10-01,69879
Canada,2024-10-01,11402
USA,2024-10-01,50339
Other Markets In Americas,2024-10-01,8138
Europe,2024-10-01,151359
Belgium & Luxembourg,2024-10-01,2865
Denmark,2024-10-01,2636
Finland,2024-10-01,2470
