Region/Country,year_month,no_of_visitors
Others,2014-11-01,4
Total International Visitor Arrivals By Inbound Tourism Markets,2014-10-01,1203527
Southeast Asia,2014-10-01,485039
Brunei Darussalam,2014-10-01,5440
Indonesia,2014-10-01,226630
Malaysia,2014-10-01,97184
Myanmar,2014-10-01,8958
Philippines,2014-10-01,58572
Thailand,2014-10-01,53916
Vietnam,2014-10-01,30552
Other Markets In Southeast Asia,2014-10-01,3787
Greater China,2014-10-01,200246
China,2014-10-01,133993
Hong Kong SAR,2014-10-01,40146
Taiwan,2014-10-01,24197
Other Markets In Greater China,2014-10-01,1910
North Asia,2014-10-01,113472
Japan,2014-10-01,68609
South Korea,2014-10-01,44810
Other Markets In North Asia,2014-10-01,53
South Asia,2014-10-01,110357
Bangladesh,2014-10-01,10722
India,2014-10-01,88855
Pakistan,2014-10-01,1161
Sri Lanka,2014-10-01,6987
Other Markets In South Asia,2014-10-01,2632
West Asia,2014-10-01,14898
Iran,2014-10-01,756
Israel,2014-10-01,1441
Kuwait,2014-10-01,896
Saudi Arabia,2014-10-01,2349
United Arab Emirates,2014-10-01,6704
Other Markets In West Asia,2014-10-01,2752
Americas,2014-10-01,47969
Canada,2014-10-01,6696
USA,2014-10-01,36306
Other Markets In Americas,2014-10-01,4967
Europe,2014-10-01,129264
Belgium & Luxembourg,2014-10-01,2029
Denmark,2014-10-01,2754
Finland,2014-10-01,2522
France,2014-10-01,12351
Germany,2014-10-01,21905
Italy,2014-10-01,4389
Netherlands,2014-10-01,6051
Norway,2014-10-01,2328
Rep Of Ireland,2014-10-01,1353
Russian Federation,2014-10-01,6507
Spain,2014-10-01,3488
Sweden,2014-10-01,3331
Switzerland,2014-10-01,9515
United Kingdom,2014-10-01,36986
Other Markets In Europe,2014-10-01,13755
Oceania,2014-10-01,97886
Australia,2014-10-01,87565
New Zealand,2014-10-01,9146
Other Markets In Oceania,2014-10-01,1175
Africa,2014-10-01,4191
Egypt,2014-10-01,406
Mauritius,2014-10-01,475
South Africa (Rep Of),2014-10-01,1853
Other Markets In Africa,2014-10-01,1457
Others,2014-10-01,205
Total International Visitor Arrivals By Inbound Tourism Markets,2014-09-01,1098626
Southeast Asia,2014-09-01,436327
Brunei Darussalam,2014-09-01,5601
Indonesia,2014-09-01,206593
Malaysia,2014-09-01,99339
Myanmar,2014-09-01,8294
Philippines,2014-09-01,47246
Thailand,2014-09-01,35122
Vietnam,2014-09-01,28960
Other Markets In Southeast Asia,2014-09-01,5172
Greater China,2014-09-01,173014
China,2014-09-01,105780
Hong Kong SAR,2014-09-01,39931
Taiwan,2014-09-01,25373
Other Markets In Greater China,2014-09-01,1930
North Asia,2014-09-01,113725
Japan,2014-09-01,74408
South Korea,2014-09-01,39276
Other Markets In North Asia,2014-09-01,41
South Asia,2014-09-01,85979
Bangladesh,2014-09-01,9486
India,2014-09-01,65751
Pakistan,2014-09-01,1115
Sri Lanka,2014-09-01,7536
Other Markets In South Asia,2014-09-01,2091
West Asia,2014-09-01,11961
Iran,2014-09-01,1254
Israel,2014-09-01,1134
Kuwait,2014-09-01,532
Saudi Arabia,2014-09-01,2311
United Arab Emirates,2014-09-01,5012
Other Markets In West Asia,2014-09-01,1718
Americas,2014-09-01,42437
Canada,2014-09-01,5022
USA,2014-09-01,33053
Other Markets In Americas,2014-09-01,4362
Europe,2014-09-01,120902
Belgium & Luxembourg,2014-09-01,2233
Denmark,2014-09-01,2199
Finland,2014-09-01,1759
France,2014-09-01,10323
Germany,2014-09-01,22156
Italy,2014-09-01,5164
Netherlands,2014-09-01,6027
Norway,2014-09-01,2132
Rep Of Ireland,2014-09-01,1281
Russian Federation,2014-09-01,5384
Spain,2014-09-01,4153
Sweden,2014-09-01,2034
Switzerland,2014-09-01,7645
United Kingdom,2014-09-01,35981
Other Markets In Europe,2014-09-01,12431
Oceania,2014-09-01,109434
Australia,2014-09-01,97642
New Zealand,2014-09-01,10593
Other Markets In Oceania,2014-09-01,1199
Africa,2014-09-01,4846
Egypt,2014-09-01,399
Mauritius,2014-09-01,475
South Africa (Rep Of),2014-09-01,2354
Other Markets In Africa,2014-09-01,1618
Others,2014-09-01,1
Total International Visitor Arrivals By Inbound Tourism Markets,2014-08-01,1362935
Southeast Asia,2014-08-01,480265
Brunei Darussalam,2014-08-01,5079
Indonesia,2014-08-01,234710
Malaysia,2014-08-01,93222
Myanmar,2014-08-01,8903
Philippines,2014-08-01,51074
Thailand,2014-08-01,40849
Vietnam,2014-08-01,41775
Other Markets In Southeast Asia,2014-08-01,4653
Greater China,2014-08-01,305291
China,2014-08-01,174150
Hong Kong SAR,2014-08-01,87173
Taiwan,2014-08-01,38422
Other Markets In Greater China,2014-08-01,5546
North Asia,2014-08-01,151961
Japan,2014-08-01,95248
South Korea,2014-08-01,56623
Other Markets In North Asia,2014-08-01,90
South Asia,2014-08-01,95406
Bangladesh,2014-08-01,11690
India,2014-08-01,69960
Pakistan,2014-08-01,1951
Sri Lanka,2014-08-01,9649
Other Markets In South Asia,2014-08-01,2156
West Asia,2014-08-01,27567
Iran,2014-08-01,892
Israel,2014-08-01,1166
Kuwait,2014-08-01,2784
Saudi Arabia,2014-08-01,5290
United Arab Emirates,2014-08-01,11862
Other Markets In West Asia,2014-08-01,5573
Americas,2014-08-01,47977
Canada,2014-08-01,6641
USA,2014-08-01,38067
Other Markets In Americas,2014-08-01,3269
Europe,2014-08-01,153482
Belgium & Luxembourg,2014-08-01,2946
Denmark,2014-08-01,2052
Finland,2014-08-01,1108
France,2014-08-01,20541
Germany,2014-08-01,24544
Italy,2014-08-01,13280
Netherlands,2014-08-01,8541
Norway,2014-08-01,2040
Rep Of Ireland,2014-08-01,1429
Russian Federation,2014-08-01,6129
Spain,2014-08-01,7295
Sweden,2014-08-01,1841
Switzerland,2014-08-01,8837
United Kingdom,2014-08-01,38360
Other Markets In Europe,2014-08-01,14539
Oceania,2014-08-01,94518
Australia,2014-08-01,82448
New Zealand,2014-08-01,10939
Other Markets In Oceania,2014-08-01,1131
Africa,2014-08-01,6468
Egypt,2014-08-01,448
Mauritius,2014-08-01,655
South Africa (Rep Of),2014-08-01,2037
Other Markets In Africa,2014-08-01,3328
Others,2014-08-01,0
Total International Visitor Arrivals By Inbound Tourism Markets,2014-07-01,1408400
Southeast Asia,2014-07-01,568294
Brunei Darussalam,2014-07-01,6305
Indonesia,2014-07-01,296880
Malaysia,2014-07-01,101461
Myanmar,2014-07-01,9345
Philippines,2014-07-01,49506
Thailand,2014-07-01,43785
Vietnam,2014-07-01,55951
Other Markets In Southeast Asia,2014-07-01,5061
Greater China,2014-07-01,309197
China,2014-07-01,180653
Hong Kong SAR,2014-07-01,80808
Taiwan,2014-07-01,44229
Other Markets In Greater China,2014-07-01,3507
North Asia,2014-07-01,116155
Japan,2014-07-01,69419
South Korea,2014-07-01,46666
Other Markets In North Asia,2014-07-01,70
South Asia,2014-07-01,91829
Bangladesh,2014-07-01,10108
India,2014-07-01,72724
Pakistan,2014-07-01,1374
Sri Lanka,2014-07-01,5711
Other Markets In South Asia,2014-07-01,1912
West Asia,2014-07-01,16438
Iran,2014-07-01,844
Israel,2014-07-01,1065
Kuwait,2014-07-01,1208
Saudi Arabia,2014-07-01,1760
United Arab Emirates,2014-07-01,8544
Other Markets In West Asia,2014-07-01,3017
Americas,2014-07-01,54556
Canada,2014-07-01,7052
USA,2014-07-01,43508
Other Markets In Americas,2014-07-01,3996
Europe,2014-07-01,124542
Belgium & Luxembourg,2014-07-01,2987
Denmark,2014-07-01,3293
Finland,2014-07-01,1266
France,2014-07-01,14405
Germany,2014-07-01,17014
Italy,2014-07-01,5153
Netherlands,2014-07-01,8089
Norway,2014-07-01,3328
Rep Of Ireland,2014-07-01,1734
Russian Federation,2014-07-01,5280
Spain,2014-07-01,4047
Sweden,2014-07-01,2716
Switzerland,2014-07-01,10503
United Kingdom,2014-07-01,32056
Other Markets In Europe,2014-07-01,12671
Oceania,2014-07-01,121954
Australia,2014-07-01,106641
New Zealand,2014-07-01,14075
Other Markets In Oceania,2014-07-01,1238
Africa,2014-07-01,5435
Egypt,2014-07-01,214
Mauritius,2014-07-01,708
South Africa (Rep Of),2014-07-01,2448
Other Markets In Africa,2014-07-01,2065
Others,2014-07-01,0
Total International Visitor Arrivals By Inbound Tourism Markets,2014-06-01,1181422
Southeast Asia,2014-06-01,552708
Brunei Darussalam,2014-06-01,7393
Indonesia,2014-06-01,278181
Malaysia,2014-06-01,108945
Myanmar,2014-06-01,9530
Philippines,2014-06-01,56224
Thailand,2014-06-01,39083
Vietnam,2014-06-01,48999
Other Markets In Southeast Asia,2014-06-01,4353
Greater China,2014-06-01,167167
China,2014-06-01,91485
Hong Kong SAR,2014-06-01,47182
Taiwan,2014-06-01,25807
Other Markets In Greater China,2014-06-01,2693
North Asia,2014-06-01,93685
Japan,2014-06-01,56044
South Korea,2014-06-01,37589
Other Markets In North Asia,2014-06-01,52
South Asia,2014-06-01,117244
Bangladesh,2014-06-01,11100
India,2014-06-01,94738
Pakistan,2014-06-01,2799
Sri Lanka,2014-06-01,6369
Other Markets In South Asia,2014-06-01,2238
West Asia,2014-06-01,12928
Iran,2014-06-01,685
Israel,2014-06-01,1193
Kuwait,2014-06-01,769
Saudi Arabia,2014-06-01,2205
United Arab Emirates,2014-06-01,5676
Other Markets In West Asia,2014-06-01,2400
Americas,2014-06-01,50633
Canada,2014-06-01,5516
USA,2014-06-01,41609
Other Markets In Americas,2014-06-01,3508
Europe,2014-06-01,88947
Belgium & Luxembourg,2014-06-01,1654
Denmark,2014-06-01,1653
Finland,2014-06-01,1532
France,2014-06-01,9288
Germany,2014-06-01,13270
Italy,2014-06-01,3674
Netherlands,2014-06-01,4962
Norway,2014-06-01,2093
Rep Of Ireland,2014-06-01,1357
Russian Federation,2014-06-01,4874
Spain,2014-06-01,2515
Sweden,2014-06-01,2160
Switzerland,2014-06-01,5454
United Kingdom,2014-06-01,25135
Other Markets In Europe,2014-06-01,9326
Oceania,2014-06-01,93721
Australia,2014-06-01,81558
New Zealand,2014-06-01,10922
Other Markets In Oceania,2014-06-01,1241
Africa,2014-06-01,4382
Egypt,2014-06-01,307
Mauritius,2014-06-01,525
South Africa (Rep Of),2014-06-01,1800
Other Markets In Africa,2014-06-01,1750
Others,2014-06-01,7
Total International Visitor Arrivals By Inbound Tourism Markets,2014-05-01,1208532
Southeast Asia,2014-05-01,549855
Brunei Darussalam,2014-05-01,6254
Indonesia,2014-05-01,267714
Malaysia,2014-05-01,100648
Myanmar,2014-05-01,9538
Philippines,2014-05-01,76976
Thailand,2014-05-01,46683
Vietnam,2014-05-01,36630
Other Markets In Southeast Asia,2014-05-01,5412
Greater China,2014-05-01,172254
China,2014-05-01,95987
Hong Kong SAR,2014-05-01,47859
Taiwan,2014-05-01,26699
Other Markets In Greater China,2014-05-01,1709
North Asia,2014-05-01,96160
Japan,2014-05-01,54173
South Korea,2014-05-01,41946
Other Markets In North Asia,2014-05-01,41
South Asia,2014-05-01,138919
Bangladesh,2014-05-01,9853
India,2014-05-01,118953
Pakistan,2014-05-01,1357
Sri Lanka,2014-05-01,6994
Other Markets In South Asia,2014-05-01,1762
West Asia,2014-05-01,9852
Iran,2014-05-01,443
Israel,2014-05-01,1075
Kuwait,2014-05-01,390
Saudi Arabia,2014-05-01,1556
United Arab Emirates,2014-05-01,4609
Other Markets In West Asia,2014-05-01,1779
Americas,2014-05-01,46359
Canada,2014-05-01,6803
USA,2014-05-01,35355
Other Markets In Americas,2014-05-01,4201
Europe,2014-05-01,100622
Belgium & Luxembourg,2014-05-01,1792
Denmark,2014-05-01,1624
Finland,2014-05-01,1495
France,2014-05-01,11980
Germany,2014-05-01,15425
Italy,2014-05-01,3712
Netherlands,2014-05-01,5888
Norway,2014-05-01,1854
Rep Of Ireland,2014-05-01,1113
Russian Federation,2014-05-01,5746
Spain,2014-05-01,2657
Sweden,2014-05-01,2417
Switzerland,2014-05-01,6710
United Kingdom,2014-05-01,27667
Other Markets In Europe,2014-05-01,10542
Oceania,2014-05-01,90197
Australia,2014-05-01,78280
New Zealand,2014-05-01,10812
Other Markets In Oceania,2014-05-01,1105
Africa,2014-05-01,4305
Egypt,2014-05-01,322
Mauritius,2014-05-01,390
South Africa (Rep Of),2014-05-01,1912
Other Markets In Africa,2014-05-01,1681
Others,2014-05-01,9
Total International Visitor Arrivals By Inbound Tourism Markets,2014-04-01,1245307
Southeast Asia,2014-04-01,511901
Brunei Darussalam,2014-04-01,4741
Indonesia,2014-04-01,230236
Malaysia,2014-04-01,94982
Myanmar,2014-04-01,15255
Philippines,2014-04-01,73558
Thailand,2014-04-01,56136
Vietnam,2014-04-01,30234
Other Markets In Southeast Asia,2014-04-01,6759
Greater China,2014-04-01,224305
China,2014-04-01,126507
Hong Kong SAR,2014-04-01,69675
Taiwan,2014-04-01,25865
Other Markets In Greater China,2014-04-01,2258
North Asia,2014-04-01,87061
Japan,2014-04-01,50751
South Korea,2014-04-01,36247
Other Markets In North Asia,2014-04-01,63
South Asia,2014-04-01,103761
Bangladesh,2014-04-01,9817
India,2014-04-01,79536
Pakistan,2014-04-01,1225
Sri Lanka,2014-04-01,11131
Other Markets In South Asia,2014-04-01,2052
West Asia,2014-04-01,12344
Iran,2014-04-01,577
Israel,2014-04-01,1273
Kuwait,2014-04-01,448
Saudi Arabia,2014-04-01,1379
United Arab Emirates,2014-04-01,6512
Other Markets In West Asia,2014-04-01,2155
Americas,2014-04-01,48811
Canada,2014-04-01,6861
USA,2014-04-01,36594
Other Markets In Americas,2014-04-01,5356
Europe,2014-04-01,140349
Belgium & Luxembourg,2014-04-01,2664
Denmark,2014-04-01,2649
Finland,2014-04-01,2305
France,2014-04-01,13643
Germany,2014-04-01,22125
Italy,2014-04-01,4684
Netherlands,2014-04-01,6517
Norway,2014-04-01,3938
Rep Of Ireland,2014-04-01,1278
Russian Federation,2014-04-01,6996
Spain,2014-04-01,3394
Sweden,2014-04-01,3676
Switzerland,2014-04-01,10025
United Kingdom,2014-04-01,43708
Other Markets In Europe,2014-04-01,12747
Oceania,2014-04-01,110478
Australia,2014-04-01,99811
New Zealand,2014-04-01,9520
Other Markets In Oceania,2014-04-01,1147
Africa,2014-04-01,6291
Egypt,2014-04-01,333
Mauritius,2014-04-01,748
South Africa (Rep Of),2014-04-01,3364
Other Markets In Africa,2014-04-01,1846
Others,2014-04-01,6
Total International Visitor Arrivals By Inbound Tourism Markets,2014-03-01,1297551
Southeast Asia,2014-03-01,508913
Brunei Darussalam,2014-03-01,7545
Indonesia,2014-03-01,246308
Malaysia,2014-03-01,107002
Myanmar,2014-03-01,9789
Philippines,2014-03-01,57050
Thailand,2014-03-01,46338
Vietnam,2014-03-01,31060
Other Markets In Southeast Asia,2014-03-01,3821
Greater China,2014-03-01,232681
China,2014-03-01,165642
Hong Kong SAR,2014-03-01,43218
Taiwan,2014-03-01,22115
Other Markets In Greater China,2014-03-01,1706
North Asia,2014-03-01,127048
Japan,2014-03-01,85946
South Korea,2014-03-01,40995
Other Markets In North Asia,2014-03-01,107
South Asia,2014-03-01,90346
Bangladesh,2014-03-01,10721
India,2014-03-01,70488
Pakistan,2014-03-01,1570
Sri Lanka,2014-03-01,5772
Other Markets In South Asia,2014-03-01,1795
West Asia,2014-03-01,15614
Iran,2014-03-01,3433
Israel,2014-03-01,1320
Kuwait,2014-03-01,587
Saudi Arabia,2014-03-01,2037
United Arab Emirates,2014-03-01,6286
Other Markets In West Asia,2014-03-01,1951
Americas,2014-03-01,66875
Canada,2014-03-01,10905
USA,2014-03-01,49729
Other Markets In Americas,2014-03-01,6241
Europe,2014-03-01,168535
Belgium & Luxembourg,2014-03-01,2821
Denmark,2014-03-01,3234
Finland,2014-03-01,3449
France,2014-03-01,15735
Germany,2014-03-01,30806
Italy,2014-03-01,5940
Netherlands,2014-03-01,7969
Norway,2014-03-01,3397
Rep Of Ireland,2014-03-01,1464
Russian Federation,2014-03-01,9563
Spain,2014-03-01,3444
Sweden,2014-03-01,4821
Switzerland,2014-03-01,8829
United Kingdom,2014-03-01,49474
Other Markets In Europe,2014-03-01,17589
Oceania,2014-03-01,82577
Australia,2014-03-01,74578
New Zealand,2014-03-01,6872
Other Markets In Oceania,2014-03-01,1127
Africa,2014-03-01,4948
Egypt,2014-03-01,328
Mauritius,2014-03-01,478
South Africa (Rep Of),2014-03-01,2280
Other Markets In Africa,2014-03-01,1862
Others,2014-03-01,14
Total International Visitor Arrivals By Inbound Tourism Markets,2014-02-01,1238239
Southeast Asia,2014-02-01,440212
Brunei Darussalam,2014-02-01,5076
Indonesia,2014-02-01,219036
Malaysia,2014-02-01,91181
Myanmar,2014-02-01,7513
Philippines,2014-02-01,44539
Thailand,2014-02-01,35161
Vietnam,2014-02-01,33053
Other Markets In Southeast Asia,2014-02-01,4653
Greater China,2014-02-01,287243
China,2014-02-01,203600
Hong Kong SAR,2014-02-01,48440
Taiwan,2014-02-01,32874
Other Markets In Greater China,2014-02-01,2329
North Asia,2014-02-01,121222
Japan,2014-02-01,69230
South Korea,2014-02-01,51930
Other Markets In North Asia,2014-02-01,62
South Asia,2014-02-01,81187
Bangladesh,2014-02-01,9343
India,2014-02-01,62999
Pakistan,2014-02-01,1117
Sri Lanka,2014-02-01,6006
Other Markets In South Asia,2014-02-01,1722
West Asia,2014-02-01,11577
Iran,2014-02-01,896
Israel,2014-02-01,1556
Kuwait,2014-02-01,1471
Saudi Arabia,2014-02-01,1322
United Arab Emirates,2014-02-01,4072
Other Markets In West Asia,2014-02-01,2260
Americas,2014-02-01,58987
Canada,2014-02-01,10118
USA,2014-02-01,44052
Other Markets In Americas,2014-02-01,4817
Europe,2014-02-01,156630
Belgium & Luxembourg,2014-02-01,2482
Denmark,2014-02-01,3860
Finland,2014-02-01,4580
France,2014-02-01,14180
Germany,2014-02-01,25422
Italy,2014-02-01,4944
Netherlands,2014-02-01,7458
Norway,2014-02-01,3516
Rep Of Ireland,2014-02-01,1325
Russian Federation,2014-02-01,9154
Spain,2014-02-01,3022
Sweden,2014-02-01,5289
Switzerland,2014-02-01,8994
United Kingdom,2014-02-01,43998
Other Markets In Europe,2014-02-01,18406
Oceania,2014-02-01,76921
Australia,2014-02-01,69119
New Zealand,2014-02-01,6893
Other Markets In Oceania,2014-02-01,909
Africa,2014-02-01,4238
Egypt,2014-02-01,351
Mauritius,2014-02-01,481
South Africa (Rep Of),2014-02-01,1729
Other Markets In Africa,2014-02-01,1677
Others,2014-02-01,22
Total International Visitor Arrivals By Inbound Tourism Markets,2014-01-01,1345842
Southeast Asia,2014-01-01,497205
Brunei Darussalam,2014-01-01,6418
Indonesia,2014-01-01,284126
Malaysia,2014-01-01,89482
Myanmar,2014-01-01,7807
Philippines,2014-01-01,43702
Thailand,2014-01-01,35263
Vietnam,2014-01-01,26071
Other Markets In Southeast Asia,2014-01-01,4336
Greater China,2014-01-01,264443
China,2014-01-01,188237
Hong Kong SAR,2014-01-01,41909
Taiwan,2014-01-01,32033
Other Markets In Greater China,2014-01-01,2264
North Asia,2014-01-01,119359
Japan,2014-01-01,59578
South Korea,2014-01-01,59745
Other Markets In North Asia,2014-01-01,36
South Asia,2014-01-01,85714
Bangladesh,2014-01-01,10428
India,2014-01-01,65557
Pakistan,2014-01-01,1259
Sri Lanka,2014-01-01,6440
Other Markets In South Asia,2014-01-01,2030
West Asia,2014-01-01,11464
Iran,2014-01-01,898
Israel,2014-01-01,1325
Kuwait,2014-01-01,766
Saudi Arabia,2014-01-01,2617
United Arab Emirates,2014-01-01,3843
Other Markets In West Asia,2014-01-01,2015
Americas,2014-01-01,60370
Canada,2014-01-01,10317
USA,2014-01-01,43746
Other Markets In Americas,2014-01-01,6307
Europe,2014-01-01,162551
Belgium & Luxembourg,2014-01-01,2220
Denmark,2014-01-01,3717
Finland,2014-01-01,4427
France,2014-01-01,11966
Germany,2014-01-01,25176
Italy,2014-01-01,5429
Netherlands,2014-01-01,7640
Norway,2014-01-01,3435
Rep Of Ireland,2014-01-01,1514
Russian Federation,2014-01-01,15770
Spain,2014-01-01,3095
Sweden,2014-01-01,6910
Switzerland,2014-01-01,9319
United Kingdom,2014-01-01,42345
Other Markets In Europe,2014-01-01,19588
Oceania,2014-01-01,138986
Australia,2014-01-01,126119
New Zealand,2014-01-01,11466
Other Markets In Oceania,2014-01-01,1401
Africa,2014-01-01,5729
Egypt,2014-01-01,399
Mauritius,2014-01-01,646
South Africa (Rep Of),2014-01-01,2829
Other Markets In Africa,2014-01-01,1855
Others,2014-01-01,21
Total International Visitor Arrivals By Inbound Tourism Markets,2013-12-01,1367404
Southeast Asia,2013-12-01,626753
Brunei Darussalam,2013-12-01,13399
Indonesia,2013-12-01,321257
Malaysia,2013-12-01,142131
Myanmar,2013-12-01,9892
Philippines,2013-12-01,64044
Thailand,2013-12-01,42796
Vietnam,2013-12-01,28896
Other Markets In Southeast Asia,2013-12-01,4338
Greater China,2013-12-01,188271
China,2013-12-01,121232
Hong Kong SAR,2013-12-01,44788
Taiwan,2013-12-01,19212
Other Markets In Greater China,2013-12-01,3039
North Asia,2013-12-01,106966
Japan,2013-12-01,70932
South Korea,2013-12-01,35986
Other Markets In North Asia,2013-12-01,48
South Asia,2013-12-01,109328
Bangladesh,2013-12-01,10783
India,2013-12-01,83161
Pakistan,2013-12-01,1628
Sri Lanka,2013-12-01,11380
Other Markets In South Asia,2013-12-01,2376
West Asia,2013-12-01,14064
Iran,2013-12-01,1090
Israel,2013-12-01,1167
Kuwait,2013-12-01,902
Saudi Arabia,2013-12-01,1219
United Arab Emirates,2013-12-01,7039
Other Markets In West Asia,2013-12-01,2647
Americas,2013-12-01,55788
Canada,2013-12-01,9537
USA,2013-12-01,41785
Other Markets In Americas,2013-12-01,4466
Europe,2013-12-01,138066
Belgium & Luxembourg,2013-12-01,2325
Denmark,2013-12-01,2396
Finland,2013-12-01,3638
France,2013-12-01,11697
Germany,2013-12-01,22142
Italy,2013-12-01,4874
Netherlands,2013-12-01,6000
Norway,2013-12-01,2786
Rep Of Ireland,2013-12-01,1347
Russian Federation,2013-12-01,9435
Spain,2013-12-01,3050
Sweden,2013-12-01,6052
Switzerland,2013-12-01,8900
United Kingdom,2013-12-01,38994
Other Markets In Europe,2013-12-01,14430
Oceania,2013-12-01,118586
Australia,2013-12-01,106584
New Zealand,2013-12-01,10383
Other Markets In Oceania,2013-12-01,1619
Africa,2013-12-01,9575
Egypt,2013-12-01,323
Mauritius,2013-12-01,1332
South Africa (Rep Of),2013-12-01,5395
Other Markets In Africa,2013-12-01,2525
Others,2013-12-01,7
Total International Visitor Arrivals By Inbound Tourism Markets,2013-11-01,1184002
Southeast Asia,2013-11-01,505058
Brunei Darussalam,2013-11-01,7346
Indonesia,2013-11-01,238233
Malaysia,2013-11-01,129955
Myanmar,2013-11-01,7531
Philippines,2013-11-01,55195
Thailand,2013-11-01,34685
Vietnam,2013-11-01,27353
Other Markets In Southeast Asia,2013-11-01,4760
Greater China,2013-11-01,182352
China,2013-11-01,119618
Hong Kong SAR,2013-11-01,38801
Taiwan,2013-11-01,22197
Other Markets In Greater China,2013-11-01,1736
North Asia,2013-11-01,113069
Japan,2013-11-01,72603
South Korea,2013-11-01,40388
Other Markets In North Asia,2013-11-01,78
South Asia,2013-11-01,93631
Bangladesh,2013-11-01,9899
India,2013-11-01,74389
Pakistan,2013-11-01,1309
Sri Lanka,2013-11-01,6408
Other Markets In South Asia,2013-11-01,1626
West Asia,2013-11-01,9690
Iran,2013-11-01,732
Israel,2013-11-01,1175
Kuwait,2013-11-01,371
Saudi Arabia,2013-11-01,1007
United Arab Emirates,2013-11-01,4674
Other Markets In West Asia,2013-11-01,1731
Americas,2013-11-01,51911
Canada,2013-11-01,8000
USA,2013-11-01,39620
Other Markets In Americas,2013-11-01,4291
Europe,2013-11-01,135130
Belgium & Luxembourg,2013-11-01,2390
Denmark,2013-11-01,2345
Finland,2013-11-01,3280
France,2013-11-01,11359
Germany,2013-11-01,21213
Italy,2013-11-01,5140
Netherlands,2013-11-01,6568
Norway,2013-11-01,3121
Rep Of Ireland,2013-11-01,1232
Russian Federation,2013-11-01,8376
Spain,2013-11-01,3338
Sweden,2013-11-01,3593
Switzerland,2013-11-01,8549
United Kingdom,2013-11-01,39370
Other Markets In Europe,2013-11-01,15256
Oceania,2013-11-01,88211
Australia,2013-11-01,78324
New Zealand,2013-11-01,8430
Other Markets In Oceania,2013-11-01,1457
Africa,2013-11-01,4932
Egypt,2013-11-01,293
Mauritius,2013-11-01,1150
South Africa (Rep Of),2013-11-01,1873
Other Markets In Africa,2013-11-01,1616
Others,2013-11-01,18
Total International Visitor Arrivals By Inbound Tourism Markets,2013-10-01,1203746
Southeast Asia,2013-10-01,512989
Brunei Darussalam,2013-10-01,5879
Indonesia,2013-10-01,246115
Malaysia,2013-10-01,98097
Myanmar,2013-10-01,8934
Philippines,2013-10-01,61360
Thailand,2013-10-01,58887
Vietnam,2013-10-01,29011
Other Markets In Southeast Asia,2013-10-01,4706
Greater China,2013-10-01,180418
China,2013-10-01,117955
Hong Kong SAR,2013-10-01,37570
Taiwan,2013-10-01,23246
Other Markets In Greater China,2013-10-01,1647
North Asia,2013-10-01,108282
Japan,2013-10-01,68034
South Korea,2013-10-01,40157
Other Markets In North Asia,2013-10-01,91
South Asia,2013-10-01,93071
Bangladesh,2013-10-01,9843
India,2013-10-01,72429
Pakistan,2013-10-01,1675
Sri Lanka,2013-10-01,6932
Other Markets In South Asia,2013-10-01,2192
West Asia,2013-10-01,15847
Iran,2013-10-01,883
Israel,2013-10-01,1254
Kuwait,2013-10-01,1108
Saudi Arabia,2013-10-01,2588
United Arab Emirates,2013-10-01,7356
Other Markets In West Asia,2013-10-01,2658
Americas,2013-10-01,50079
Canada,2013-10-01,7158
USA,2013-10-01,37555
Other Markets In Americas,2013-10-01,5366
Europe,2013-10-01,130033
Belgium & Luxembourg,2013-10-01,2219
Denmark,2013-10-01,2877
Finland,2013-10-01,2249
France,2013-10-01,12384
Germany,2013-10-01,21759
Italy,2013-10-01,4550
Netherlands,2013-10-01,6732
Norway,2013-10-01,2765
Rep Of Ireland,2013-10-01,1598
Russian Federation,2013-10-01,6748
Spain,2013-10-01,3257
Sweden,2013-10-01,3491
Switzerland,2013-10-01,9054
United Kingdom,2013-10-01,36491
Other Markets In Europe,2013-10-01,13859
Oceania,2013-10-01,108090
Australia,2013-10-01,96454
New Zealand,2013-10-01,10359
Other Markets In Oceania,2013-10-01,1277
Africa,2013-10-01,4917
Egypt,2013-10-01,418
Mauritius,2013-10-01,559
South Africa (Rep Of),2013-10-01,2113
Other Markets In Africa,2013-10-01,1827
Others,2013-10-01,20
Total International Visitor Arrivals By Inbound Tourism Markets,2013-09-01,1176142
Southeast Asia,2013-09-01,445923
Brunei Darussalam,2013-09-01,4824
Indonesia,2013-09-01,218751
Malaysia,2013-09-01,98973
Myanmar,2013-09-01,7190
Philippines,2013-09-01,47879
Thailand,2013-09-01,36254
Vietnam,2013-09-01,28276
Other Markets In Southeast Asia,2013-09-01,3776
Greater China,2013-09-01,241300
China,2013-09-01,179130
Hong Kong SAR,2013-09-01,33514
Taiwan,2013-09-01,27180
Other Markets In Greater China,2013-09-01,1476
North Asia,2013-09-01,109529
Japan,2013-09-01,73786
South Korea,2013-09-01,35599
Other Markets In North Asia,2013-09-01,144
South Asia,2013-09-01,84032
Bangladesh,2013-09-01,9589
India,2013-09-01,64556
Pakistan,2013-09-01,1419
Sri Lanka,2013-09-01,7144
Other Markets In South Asia,2013-09-01,1324
West Asia,2013-09-01,11861
Iran,2013-09-01,1431
Israel,2013-09-01,1330
Kuwait,2013-09-01,850
Saudi Arabia,2013-09-01,1089
United Arab Emirates,2013-09-01,5089
