Park,Date/Time,Wait Time
Universal Studios Singapore,2024-09-01 17:00:00,17
Universal Studios Singapore,2024-09-01 17:05:00,16
Universal Studios Singapore,2024-09-01 17:10:00,16
Universal Studios Singapore,2024-09-01 17:15:00,13
Universal Studios Singapore,2024-09-01 17:20:00,13
Universal Studios Singapore,2024-09-01 17:25:00,12
Universal Studios Singapore,2024-09-01 17:30:00,12
Universal Studios Singapore,2024-09-01 17:35:00,12
Universal Studios Singapore,2024-09-01 17:40:00,12
Universal Studios Singapore,2024-09-01 17:45:00,10
Universal Studios Singapore,2024-09-01 17:50:00,10
Universal Studios Singapore,2024-09-01 17:55:00,10
Universal Studios Singapore,2024-09-02 10:00:00,7
Universal Studios Singapore,2024-09-02 10:05:00,7
Universal Studios Singapore,2024-09-02 10:10:00,7
Universal Studios Singapore,2024-09-02 10:15:00,8
Universal Studios Singapore,2024-09-02 10:20:00,8
Universal Studios Singapore,2024-09-02 10:25:00,9
Universal Studios Singapore,2024-09-02 10:30:00,15
Universal Studios Singapore,2024-09-02 10:40:00,17
Universal Studios Singapore,2024-09-02 10:45:00,17
Universal Studios Singapore,2024-09-02 10:50:00,18
Universal Studios Singapore,2024-09-02 10:55:00,20
Universal Studios Singapore,2024-09-02 11:00:00,22
Universal Studios Singapore,2024-09-02 11:05:00,22
Universal Studios Singapore,2024-09-02 11:10:00,24
Universal Studios Singapore,2024-09-02 11:15:00,24
Universal Studios Singapore,2024-09-02 11:20:00,25
Universal Studios Singapore,2024-09-02 11:25:00,25
Universal Studios Singapore,2024-09-02 11:30:00,25
Universal Studios Singapore,2024-09-02 11:35:00,26
Universal Studios Singapore,2024-09-02 11:40:00,24
Universal Studios Singapore,2024-09-02 11:45:00,23
Universal Studios Singapore,2024-09-02 11:50:00,23
Universal Studios Singapore,2024-09-02 11:55:00,25
Universal Studios Singapore,2024-09-02 12:00:00,26
Universal Studios Singapore,2024-09-02 12:05:00,31
Universal Studios Singapore,2024-09-02 12:10:00,31
Universal Studios Singapore,2024-09-02 12:15:00,31
Universal Studios Singapore,2024-09-02 12:20:00,31
Universal Studios Singapore,2024-09-02 12:25:00,32
Universal Studios Singapore,2024-09-02 12:30:00,31
Universal Studios Singapore,2024-09-02 12:35:00,31
Universal Studios Singapore,2024-09-02 12:40:00,32
Universal Studios Singapore,2024-09-02 12:45:00,30
Universal Studios Singapore,2024-09-02 12:50:00,28
Universal Studios Singapore,2024-09-02 12:55:00,29
Universal Studios Singapore,2024-09-02 13:00:00,25
Universal Studios Singapore,2024-09-02 13:05:00,25
