Year,Attendance
2006,12900000
2007,13906000
2008,14293000
2009,13646000
2010,14452000
2011,13996000
2012,14847000
2013,17214000
2014,17300000
2015,16600000
2016,16540000
2017,16600000
2018,17907000
2019,17910000
2020,4160000
2021,6300000
2022,12000000
2023,15100000
