Year,Attendance
2009,8000000
2010,8160000
2011,8500000
2012,9700000
2013,10100000
2014,11800000
2015,13900000
2016,14500000
2017,14935000
2018,14300000
2019,14500000
2020,4901000
2021,5500000
2022,12350000
2023,16000000
