date,timestamp,station_id,station_name,rainfall
1/12/2023,2023-12-01T15:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T15:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T15:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T15:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:10:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T16:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:10:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T17:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:10:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T18:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:10:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T19:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:10:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T20:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:10:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:15:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:20:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:25:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:30:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:35:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:40:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:45:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:50:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T21:55:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:00:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:05:00+08:00,S60,Sentosa,0
1/12/2023,2023-12-01T22:10:00+08:00,S60,Sentosa,0
